,logFC,logCPM,LR,PValue,DE,FDR
14262,7.12588745845366,-0.83760468303347,54.1014171891525,1.90403885975205e-13,1,4.34787273624382e-09
14256,7.63633012792864,-0.388202899658331,17.0637231135693,3.61462166828228e-05,0,0.412699428976129
12609,-2.70501734747135,-1.25157290183844,13.0632432204155,0.000301147529022646,0,1
20839,-3.63014130087353,-1.5969506071545,12.503217940011,0.000406251667314167,0,1
4704,5.5784607248997,-1.76164974436038,11.9912774379095,0.000534501381135174,0,1
9791,-1.41872074547702,-0.0893261629090909,10.5895410521604,0.00113729205901107,0,1
6580,2.82882566278677,-1.49598226348812,10.3495248973132,0.00129508013274801,0,1
2209,5.46972358100641,-1.8792502388592,10.0504541557249,0.00152310388552522,0,1
10833,-5.39115379438437,-2.04351394599129,10.0107671222265,0.00155627685511074,0,1
17374,-5.34454250633806,-2.0598549005099,9.87899992448784,0.00167175777337905,0,1
6632,-5.31779877824468,-2.07948075053033,9.23319653174679,0.00237666373494057,0,1
14254,5.22496214437518,-2.13118078203913,8.85895701888011,0.00291654172179539,0,1
15357,-5.23892954223529,-2.1218281997444,8.82668957270145,0.00296856413115139,0,1
21957,-5.23593637644746,-2.12245766253416,8.8141783629334,0.00298898773560712,0,1
10719,-5.36877962398202,-1.96847141544929,8.41190378717829,0.00372772097243705,0,1
18321,1.96892126865943,-1.23834249141967,8.27245727924064,0.00402509927403509,0,1
3066,-3.37555110402253,-1.78462309868855,8.25001074916688,0.00407517595960188,0,1
10534,2.52680836559404,-1.53886719530759,8.13672422629569,0.0043377578529463,0,1
11371,-2.44600976755819,-1.4618526638927,8.09847782767512,0.00443024484279392,0,1
11852,-2.05568001616025,-1.26443097932712,8.04389141361746,0.00456573506632938,0,1
22779,-1.98005790758558,-1.21114582762453,8.02804591160971,0.00460585036215843,0,1
16538,-5.09753694901611,-2.16234628245898,8.01108455650561,0.00464918851758712,0,1
11629,3.08648062285029,-1.7276621515522,7.96918489521954,0.00475803593259372,0,1
8290,-2.72608152903359,-1.63040221597428,7.72625086376633,0.00544236413379208,0,1
19021,3.17181605902564,-1.78655027971081,7.70760326464613,0.00549887128744036,0,1
16017,1.66104083389381,-0.991711714706038,7.5441913387137,0.00602038350682749,0,1
14173,-2.39828790742036,-1.53568728489835,7.46085959030853,0.00630548899598537,0,1
21127,1.4514938543885,-0.776533625923926,7.19233050344948,0.00732158286411684,0,1
11286,3.40193176121216,-1.89793431412232,7.05965458164605,0.00788391973890069,0,1
14873,-4.98332837471835,-2.25048897997483,6.91773766590694,0.00853448796633523,0,1
19664,1.14885960459409,-0.128508901607078,6.89857096043852,0.00862646769376174,0,1
21013,4.87352703800066,-2.05106379795723,6.87252416472635,0.00875309332622693,0,1
7836,4.96997536372594,-2.28060383363776,6.78814483894729,0.00917652227851183,0,1
10355,-1.97351967548166,-1.39004478282001,6.78803162004774,0.00917710430215304,0,1
14620,4.89011714539834,-2.23489369828408,6.71887634334479,0.00953977125475267,0,1
22330,4.94543506404324,-2.29672074237009,6.61545913064092,0.0101097271974206,0,1
21223,-2.53900574639093,-1.6615164783048,6.48027601964867,0.0109078043625469,0,1
2644,3.36795270234414,-1.93964566041008,6.39728406141267,0.0114295082277545,0,1
9996,-4.90894896891943,-2.29812695448943,6.32559000126387,0.0119007886649944,0,1
14248,4.86013375453792,-2.30720601176866,6.28295047391892,0.0121904974094803,0,1
2901,1.23218765708507,-0.584493158221131,6.28042777766526,0.0122078628332592,0,1
8149,-4.82536181119662,-2.29694030892432,6.18453689603519,0.012887142575934,0,1
545,-4.84963226826565,-2.30594276278748,6.17109836854722,0.012985396363206,0,1
335,-4.88195927442147,-2.30018931940024,6.15765957292105,0.0130844223117264,0,1
10284,4.83309519349289,-2.33890873862494,6.02505177195835,0.0141042180244799,0,1
4440,-4.85887491571295,-2.32440379248251,6.01436239744036,0.014189904568397,0,1
18232,1.77310892828537,-1.33171099603994,5.95011901258939,0.0147162925360021,0,1
466,1.77360845242669,-1.35445575474648,5.9029709805309,0.015115367292612,0,1
8590,4.82700936100265,-2.35195459175643,5.89865690157022,0.0151524350957892,0,1
11847,-4.81044336365714,-2.2718902671552,5.87783397889288,0.0153326726751919,0,1
1576,-4.83066663641308,-2.3374610287232,5.82360546836205,0.0158124994367901,0,1
19035,-1.00977675236808,-0.00684339567603047,5.81726165786569,0.0158696330605042,0,1
18994,2.76944242499422,-1.82056934159398,5.74622194344825,0.0165241568298368,0,1
14263,4.77387699012541,-2.37325025638314,5.65180765709854,0.017437388050847,0,1
9819,-4.83134037894446,-2.16832983407599,5.64808023145631,0.0174744926151972,0,1
10592,4.75212473695982,-2.36719511111154,5.63351314068925,0.0176202835842174,0,1
18006,-4.77174636071367,-2.32541456531424,5.61538630270693,0.0178034561869827,0,1
5980,-4.76283218536903,-2.34416550257314,5.53894774682233,0.0185977620028755,0,1
18165,-1.59650670695771,-1.23091606804704,5.53754141303069,0.0186127139549129,0,1
6942,-4.69560375265479,-2.34584922906955,5.53134116530369,0.0186787823584787,0,1
3728,1.93480506016357,-1.50389432533635,5.51592575362641,0.0188440974765057,0,1
19388,4.62590096865257,-2.33298658460196,5.49608556410544,0.0190590914180551,0,1
15702,-1.43024710814978,-1.03883508020677,5.45950046172115,0.0194622099499513,0,1
4049,-1.60808403213053,-1.18978483448525,5.45651648439364,0.0194954756800955,0,1
4696,4.71696089532239,-2.38889452037947,5.44401581688312,0.019635474764475,0,1
9585,1.36036067343194,-0.980175472864565,5.41624731615238,0.0199501947786617,0,1
525,1.44029461008077,-1.05952837359028,5.36490170827502,0.0205459461343998,0,1
5892,1.20690484173472,-0.751286543823315,5.2533149288649,0.0219050020849392,0,1
12717,2.31646822415032,-1.70252255152422,5.23516102230636,0.0221347594176753,0,1
1427,-4.69119357801541,-2.39489811687924,5.20653408329826,0.0225021494476872,0,1
2950,4.53744611776894,-2.36023313192763,5.16552869500905,0.0230394439601088,0,1
3010,1.22039237425471,-0.821902758537611,5.1628503493848,0.0230749977696212,0,1
6238,3.24159020271289,-2.02320983594955,5.15407933902836,0.0231918275514845,0,1
18722,-4.62754584865323,-2.3873120279066,5.14463820593506,0.023318268913505,0,1
9038,2.01508846346848,-1.56250107818038,5.14194577330415,0.0233544584237081,0,1
10035,1.87338805105804,-1.46520236850452,5.1351288620116,0.0234463464801916,0,1
8901,-1.29057592208015,-0.933819271998114,5.12470559269628,0.0235875716849405,0,1
8437,2.01188084096415,-1.55583401256961,5.12201163841548,0.023624215423043,0,1
