id,RRMS01,RRMS02,RRMS03,RRMS04,RRMS05,RRMS06,RRMS07,RRMS08,RRMS09,RRMS10,RRMS11,RRMS12,RRMS13,RRMS14,RRMS15,RRMS16,RRMS17,RRMS18,RRMS19,RRMS20,SPMS01,SPMS02,SPMS03,SPMS04,SPMS05,SPMS06,SPMS07,SPMS08,SPMS09,SPMS10,HC01,HC02,HC03,HC04,HC05,HC06,HC07,HC08,HC09,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20
circ_1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
circ_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2
circ_100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_1000,4,5,4,4,2,5,4,0,4,6,9,7,5,3,6,3,5,11,7,4,7,6,2,7,8,3,7,5,14,4,4,6,2,5,3,2,4,0,7,4,9,3,3,11,6,0,3,0,5,5
circ_10000,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0
circ_10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
circ_10002,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_10004,3,4,4,6,2,2,0,4,6,4,0,7,9,7,3,6,7,7,7,5,4,3,5,6,5,5,7,7,5,4,7,2,3,4,5,2,11,0,2,5,6,16,3,4,0,6,5,5,4,3
circ_10005,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
