,HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
1,0,0,1,1,0,3,0,1
2,0,0,1,2,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,3,1,0,0,2,0,0,1
6,0,0,0,0,0,0,0,0
7,0,1,0,0,1,0,0,3
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,1122,1138,1007,1425,1409,1146,1276,1104
11,43,49,46,45,31,25,48,39
12,0,0,0,0,0,0,0,0
13,1,0,0,0,2,0,0,1
14,415,419,328,491,365,426,264,297
15,0,0,0,0,0,0,0,0
16,8,9,6,5,4,3,10,10
17,0,0,0,0,0,0,1,0
18,5,3,4,3,1,8,1,3
19,0,0,0,0,0,0,0,0
20,44,50,30,40,42,39,38,32
21,5,4,2,5,3,3,2,7
22,2369,2462,2960,3313,3157,2215,1272,1760
23,0,0,1,71,0,0,37,31
24,287,319,315,346,371,253,227,317
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,32,45,38,23,28,24,40,41
28,0,2,0,1,0,0,1,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,1156,1239,1201,1512,1469,1099,1034,1251
32,13,7,13,22,22,9,13,16
33,0,0,0,0,0,0,0,0
34,7,33,19,5,34,35,153,60
35,0,0,0,0,0,0,0,0
36,3,2,3,3,5,2,1,2
37,0,0,0,0,0,0,2,0
38,0,0,0,0,0,0,0,0
39,8,6,12,19,12,10,8,11
40,17,27,8,22,22,14,12,19
41,2,2,0,2,0,0,1,1
42,4,5,3,6,9,3,1,4
43,0,0,0,0,0,0,0,0
44,13,30,14,6,8,16,10,16
45,0,0,1,0,0,1,0,0
46,0,1,2,1,2,5,0,1
47,1,5,0,5,7,4,1,6
48,43,64,74,43,87,58,54,56
49,7,25,11,8,1,11,11,15
50,0,0,0,0,0,0,0,0
51,2180,2020,1904,2161,2578,2745,2085,2392
52,204,176,204,153,191,185,144,204
53,45,22,30,20,36,25,35,27
54,1,0,1,2,0,2,1,2
55,0,0,0,0,1,0,0,0
56,61,69,78,94,107,77,49,73
57,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,10,7,9,13,10,15,3,11
60,345,347,386,455,416,372,359,421
61,0,0,0,0,0,0,0,0
62,1,3,3,10,4,0,2,2
63,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,1,0,0,0,1,2,1,2
68,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
72,0,6,4,4,1,2,1,0
73,17,16,15,17,10,10,12,6
74,0,0,0,0,0,0,0,0
75,0,0,0,0,0,1,0,0
76,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,1,0,0
80,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,965,557,689,1061,183,294,289,389
84,98,49,43,100,35,37,14,22
85,83,63,71,90,94,97,76,67
86,1113,1511,973,1198,1448,1291,1006,1215
87,4882,3716,5197,2612,3833,5240,6591,5870
88,1,0,0,2,0,1,0,0
89,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
91,1138,1051,1047,1200,1174,1014,1053,996
92,0,0,0,0,0,0,0,0
93,4,1,3,8,0,4,1,0
94,0,0,1,0,0,1,3,0
95,9,13,9,4,6,5,4,10
96,0,0,0,0,0,1,0,0
97,299,523,525,681,778,560,201,247
98,13,1,10,24,17,5,4,12
99,289,270,264,270,445,351,258,443
100,354,3,14,29,16,24,20,11
101,5,11,3,11,10,5,5,9
102,9,2,7,4,1,1,3,7
103,2470,2020,2934,2243,3305,3640,2551,3707
104,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0
107,780,989,843,869,1117,967,797,888
108,1264,1289,1222,1528,1581,1069,774,956
