"","HC16","HC13","HC06","HC03","RRMS18","RRMS16","SPMS10","SPMS03"
"circ_1",0,0,0,0,0,0,0,0
"circ_10",0,0,0,0,0,0,0,0
"circ_100",0,0,0,0,0,0,0,0
"circ_1000",0,3,2,2,11,3,4,2
"circ_10000",0,0,2,0,0,0,0,0
"circ_10001",0,0,0,0,0,0,0,0
"circ_10002",0,0,0,0,0,0,0,0
"circ_10003",0,0,0,0,0,0,0,0
"circ_10004",6,3,2,3,7,6,4,5
"circ_10005",0,0,0,0,0,0,0,0
"circ_10006",0,0,0,0,0,0,0,0
"circ_10007",0,0,0,3,0,0,0,0
"circ_10008",0,0,0,4,0,5,0,0
"circ_10009",0,0,0,0,0,0,0,0
"circ_1001",0,0,0,0,0,0,0,0
"circ_10010",0,0,3,0,0,0,3,0
"circ_10011",0,0,0,0,0,0,0,0
"circ_10012",0,0,0,0,0,0,0,0
"circ_10013",0,0,0,0,0,0,0,0
"circ_10014",3,0,0,0,0,0,0,0
"circ_10015",0,0,0,0,0,0,0,0
"circ_10016",0,0,0,0,0,0,0,0
"circ_10017",2,0,0,0,0,0,3,2
"circ_10018",0,0,0,0,0,0,0,0
"circ_10019",2,3,3,0,3,2,6,0
"circ_1002",0,0,0,0,0,0,0,0
"circ_10020",0,5,0,0,4,0,0,0
"circ_10021",0,0,2,0,0,0,3,0
"circ_10022",0,2,2,0,2,0,0,3
"circ_10023",0,0,0,0,0,0,0,0
"circ_10024",3,0,3,8,0,6,0,0
"circ_10025",0,0,0,0,0,0,0,0
"circ_10026",0,0,0,0,0,0,0,0
"circ_10027",0,0,0,0,0,0,0,0
"circ_10028",0,0,0,0,0,0,0,0
"circ_10029",0,0,0,0,0,0,0,0
"circ_1003",0,0,0,0,2,0,0,0
"circ_10030",0,0,4,0,0,0,0,0
"circ_10031",0,0,2,0,0,0,2,0
"circ_10032",0,0,0,0,0,0,0,0
"circ_10033",0,0,3,0,0,0,0,0
"circ_10034",8,5,8,6,10,10,9,7
"circ_10035",0,0,0,0,0,0,0,0
"circ_10036",0,0,0,0,0,0,0,0
"circ_10037",0,0,0,0,0,0,0,0
"circ_10038",0,2,0,0,0,0,0,0
"circ_10039",0,0,0,0,0,0,0,0
"circ_1004",0,0,0,0,0,0,0,0
"circ_10040",0,0,0,0,0,4,0,0
"circ_10041",2,0,3,0,2,0,4,0
"circ_10042",0,0,0,0,0,0,0,0
"circ_10043",0,0,0,0,0,0,0,0
"circ_10044",0,0,0,0,0,0,0,0
"circ_10045",2,6,0,16,7,3,6,0
"circ_10046",0,2,0,0,0,0,0,0
"circ_10047",0,0,0,0,0,0,0,0
"circ_10048",0,0,0,0,0,0,0,0
"circ_10049",4,4,6,5,3,0,5,6
"circ_1005",0,0,0,0,0,0,0,0
"circ_10050",2,0,0,0,3,2,0,0
"circ_10051",0,0,0,3,3,6,4,0
"circ_10052",0,0,0,0,0,0,0,0
"circ_10053",23,30,45,41,48,32,35,27
"circ_10054",0,0,0,0,0,0,0,0
"circ_10055",0,0,0,0,0,0,0,0
"circ_10056",0,0,0,0,0,0,0,0
"circ_10057",3,3,0,3,0,0,0,0
"circ_10058",3,5,2,2,0,0,0,0
"circ_10059",0,0,0,5,4,4,0,0
"circ_1006",0,2,0,0,0,0,0,0
"circ_10060",0,0,0,0,2,0,2,0
"circ_10061",0,0,0,0,0,5,0,0
"circ_10062",0,0,0,0,0,0,0,0
"circ_10063",3,0,4,3,4,6,0,4
"circ_10064",0,0,0,0,0,0,0,6
"circ_10065",0,0,4,0,0,4,0,0
"circ_10066",0,0,0,4,0,0,0,3
"circ_10067",0,0,0,0,0,0,0,0
"circ_10068",0,0,0,0,0,0,0,0
"circ_10069",0,0,0,0,0,0,0,2
"circ_1007",0,4,0,0,0,2,5,0
"circ_10070",0,0,0,0,0,0,0,0
"circ_10071",0,0,0,0,0,0,0,3
"circ_10072",0,0,0,0,0,0,0,0
"circ_10073",4,0,0,0,0,2,0,0
"circ_10074",0,0,0,0,0,0,0,0
"circ_10075",0,0,0,0,0,0,0,0
"circ_10076",0,6,0,0,0,0,0,0
"circ_10077",0,0,0,0,0,0,0,0
"circ_10078",0,0,0,0,0,0,0,0
"circ_10079",0,0,0,0,0,0,0,0
"circ_1008",0,0,0,0,0,0,0,0
"circ_10080",0,0,0,0,0,0,0,0
"circ_10081",0,0,0,0,0,0,0,0
"circ_10082",2,0,4,0,3,4,0,4
"circ_10083",0,3,2,0,0,2,0,0
"circ_10084",2,0,0,0,0,0,0,0
"circ_10085",0,2,0,3,0,0,0,0
"circ_10086",2,0,0,0,0,0,0,0
"circ_10087",0,0,2,0,0,0,0,0
"circ_10088",0,0,0,0,0,0,0,0
"circ_10089",0,0,0,0,3,0,0,0
"circ_1009",2,0,0,0,0,0,6,0
"circ_10090",0,0,3,0,0,0,0,0
"circ_10091",41,57,62,69,62,81,41,39
"circ_10092",9,18,15,19,26,9,14,15
"circ_10093",0,0,2,0,0,3,0,0
"circ_10094",3,0,0,2,2,0,2,0
"circ_10095",0,0,0,4,0,0,0,0
"circ_10096",3,4,5,0,7,0,0,3
"circ_10097",0,0,0,0,0,0,0,0
"circ_10098",0,0,3,0,0,0,0,0
"circ_10099",0,2,5,0,0,0,5,3
"circ_101",0,0,4,5,3,4,3,0
"circ_1010",8,8,14,4,11,7,6,6
"circ_10100",0,0,0,0,0,0,0,0
"circ_10101",0,0,0,0,0,0,0,0
"circ_10102",0,2,0,0,0,3,0,0
"circ_10103",0,0,0,0,0,0,0,0
"circ_10104",0,0,0,0,0,0,0,0
"circ_10105",0,0,0,0,0,0,0,0
"circ_10106",0,0,0,0,0,0,0,0
"circ_10107",0,0,0,0,0,0,0,0
"circ_10108",0,3,0,0,0,0,0,0
"circ_10109",5,3,7,3,11,6,13,0
"circ_1011",7,23,30,17,32,35,29,12
"circ_10110",0,0,0,0,0,0,0,0
"circ_10111",0,2,0,0,0,0,0,0
"circ_10112",0,0,0,0,0,0,0,0
"circ_10113",0,0,0,0,0,0,0,0
"circ_10114",0,0,0,0,0,2,0,0
"circ_10115",0,0,0,0,0,0,0,0
"circ_10116",0,0,2,0,0,3,0,3
"circ_10117",0,0,0,0,0,0,0,0
"circ_10118",0,5,0,5,5,0,3,0
"circ_10119",0,3,0,0,3,0,2,2
"circ_1012",0,0,0,0,0,0,0,0
"circ_10120",0,0,0,0,0,0,0,0
"circ_10121",0,0,0,0,0,0,0,0
"circ_10122",0,0,0,0,2,0,0,0
"circ_10123",0,0,0,0,0,0,2,0
"circ_10124",0,0,0,0,0,0,0,0
"circ_10125",0,0,0,0,0,0,0,0
"circ_10126",0,0,0,0,0,0,0,2
"circ_10127",3,8,2,4,3,3,7,6
"circ_10128",5,0,3,8,3,0,2,4
"circ_10129",0,0,0,0,0,0,0,0
"circ_1013",2,2,10,2,5,2,11,3
"circ_10130",0,0,0,0,0,0,0,0
"circ_10131",2,4,0,0,0,6,4,6
"circ_10132",0,0,2,0,0,0,0,0
"circ_10133",0,0,0,0,0,0,0,0
"circ_10134",0,0,0,0,0,0,0,0
"circ_10135",7,6,7,3,13,6,5,5
"circ_10136",0,2,0,0,0,0,0,4
"circ_10137",3,0,3,0,0,0,4,2
"circ_10138",2,5,2,3,0,0,0,0
"circ_10139",0,0,2,0,0,3,0,0
"circ_1014",0,3,0,0,0,0,0,0
"circ_10140",0,0,0,0,0,0,0,0
"circ_10141",0,0,0,3,0,0,0,0
"circ_10142",0,0,0,0,0,0,0,0
"circ_10143",0,0,3,0,0,0,0,0
"circ_10144",0,0,0,0,0,0,0,0
"circ_10145",0,0,0,0,0,0,0,0
"circ_10146",0,0,0,0,0,0,0,0
"circ_10147",0,0,0,0,0,0,0,0
"circ_10148",0,0,0,0,0,0,0,0
"circ_10149",0,0,0,0,0,0,0,0
"circ_1015",25,33,31,38,45,25,31,28
"circ_10150",0,4,0,0,4,0,0,0
"circ_10151",0,0,0,0,0,3,0,0
"circ_10152",0,0,0,0,0,0,0,0
"circ_10153",0,0,0,0,0,0,0,0
"circ_10154",0,0,0,0,0,0,0,0
"circ_10155",0,0,0,0,0,0,0,0
"circ_10156",0,0,0,0,0,0,0,0
"circ_10157",3,0,0,0,2,0,2,0
"circ_10158",0,6,0,5,9,8,12,0
"circ_10159",0,0,0,0,0,0,0,0
"circ_1016",0,0,0,0,0,0,0,0
"circ_10160",7,9,7,16,12,7,10,6
"circ_10161",0,0,0,0,0,0,0,0
"circ_10162",0,0,0,0,0,0,0,0
"circ_10163",2,7,2,0,7,5,0,3
"circ_10164",0,0,0,0,0,0,0,0
"circ_10165",0,0,0,0,0,3,0,0
"circ_10166",6,10,6,2,7,11,5,9
"circ_10167",0,0,0,0,0,0,3,4
"circ_10168",0,3,0,0,0,0,0,0
"circ_10169",0,2,0,0,0,0,0,0
"circ_1017",3,10,10,6,6,8,4,7
"circ_10170",0,0,0,0,0,0,0,0
"circ_10171",0,0,0,3,0,5,2,0
"circ_10172",0,0,0,0,0,0,0,2
"circ_10173",0,0,0,0,0,0,0,0
"circ_10174",0,0,0,0,0,0,0,0
"circ_10175",3,3,0,0,0,0,0,0
"circ_10176",0,0,0,0,0,0,0,0
"circ_10177",0,0,0,0,0,0,0,0
"circ_10178",0,0,0,0,0,0,0,0
"circ_10179",3,2,4,0,5,0,0,6
"circ_1018",0,0,0,0,0,0,0,0
"circ_10180",0,0,0,0,0,0,0,0
"circ_10181",0,0,0,0,0,0,0,0
"circ_10182",20,21,32,24,29,36,27,18
"circ_10183",5,4,6,2,2,5,8,3
"circ_10184",0,0,0,0,0,0,0,0
"circ_10185",0,0,0,0,0,0,0,0
"circ_10186",0,0,0,0,0,0,0,3
"circ_10187",0,0,0,0,0,0,0,0
"circ_10188",0,0,0,0,0,0,0,0
"circ_10189",4,0,3,3,0,3,0,0
"circ_1019",0,0,0,0,0,0,0,0
"circ_10190",0,0,0,0,0,0,0,3
"circ_10191",0,3,0,0,0,0,0,0
"circ_10192",0,0,0,0,0,0,0,0
"circ_10193",9,12,7,15,9,4,5,10
"circ_10194",0,0,0,0,0,0,2,0
"circ_10195",0,0,0,0,0,0,3,0
"circ_10196",0,2,0,0,0,0,0,0
"circ_10197",0,0,0,0,0,0,0,0
"circ_10198",0,0,0,0,0,0,0,0
"circ_10199",0,0,0,0,0,0,0,0
"circ_102",0,0,0,2,0,0,0,0
"circ_1020",0,10,10,10,8,3,3,3
"circ_10200",0,0,0,0,0,0,0,0
"circ_10201",0,0,2,0,0,0,0,0
"circ_10202",0,0,0,0,0,0,0,0
"circ_10203",0,0,0,0,0,0,0,0
"circ_10204",0,0,0,0,0,0,0,0
"circ_10205",0,0,0,0,0,0,0,0
"circ_10206",0,0,0,0,0,0,0,0
"circ_10207",0,0,0,0,0,0,0,2
"circ_10208",0,0,0,0,0,0,0,0
"circ_10209",0,0,0,0,0,0,0,0
"circ_1021",0,0,0,0,0,0,0,0
"circ_10210",5,2,3,4,5,0,5,2
"circ_10211",0,0,0,0,0,0,0,0
"circ_10212",0,0,0,0,2,0,0,0
"circ_10213",9,10,8,6,6,15,15,8
"circ_10214",0,0,0,0,0,0,0,0
"circ_10215",0,0,0,0,0,0,0,0
"circ_10216",0,0,0,0,0,0,0,0
"circ_10217",0,0,0,0,0,2,0,0
"circ_10218",0,0,2,0,0,0,0,0
"circ_10219",0,0,0,0,0,0,0,0
"circ_1022",0,0,0,0,4,0,0,0
"circ_10220",0,0,0,0,0,0,0,0
"circ_10221",7,5,5,10,5,0,5,5
"circ_10222",0,0,3,0,0,0,0,0
"circ_10223",0,0,0,0,0,4,3,0
"circ_10224",0,0,0,0,2,0,0,0
"circ_10225",0,0,0,0,0,0,0,0
"circ_10226",3,0,2,0,2,2,0,0
"circ_10227",0,0,0,0,0,0,0,0
"circ_10228",0,3,0,0,4,4,3,3
"circ_10229",3,3,4,0,3,0,0,0
"circ_1023",0,3,2,2,0,0,0,0
"circ_10230",0,0,0,0,0,0,0,0
"circ_10231",7,5,0,4,5,8,8,5
"circ_10232",4,3,0,0,5,0,5,0
"circ_10233",0,0,0,3,0,0,3,2
"circ_10234",2,2,0,0,0,0,0,0
"circ_10235",0,0,0,0,0,0,0,0
"circ_10236",0,0,0,0,0,0,0,0
"circ_10237",0,0,0,0,0,0,0,0
"circ_10238",0,0,0,0,2,0,0,0
"circ_10239",6,9,6,3,7,7,8,6
"circ_1024",0,0,0,0,0,0,0,0
"circ_10240",0,0,0,0,0,0,0,2
"circ_10241",0,0,0,0,0,0,0,0
"circ_10242",0,0,0,2,2,0,2,0
"circ_10243",0,0,0,0,0,2,0,0
"circ_10244",0,0,0,0,0,0,0,0
"circ_10245",0,0,0,0,0,0,0,0
"circ_10246",0,0,5,0,0,0,0,0
"circ_10247",0,0,0,0,0,0,0,0
"circ_10248",7,10,12,21,10,10,19,6
"circ_10249",18,17,21,18,18,29,11,7
"circ_1025",0,0,0,0,0,0,0,0
"circ_10250",0,2,0,0,0,0,0,0
"circ_10251",0,0,0,0,0,3,0,0
"circ_10252",0,0,0,0,0,0,0,0
"circ_10253",0,0,0,0,0,0,0,0
"circ_10254",0,3,3,0,0,0,0,0
"circ_10255",0,3,0,3,0,0,0,0
"circ_10256",0,0,0,0,2,0,0,0
"circ_10257",0,0,2,0,0,0,0,0
"circ_10258",0,0,2,0,0,0,0,0
"circ_10259",5,5,7,4,9,3,5,5
"circ_1026",0,0,0,0,0,0,0,0
"circ_10260",15,11,5,3,9,5,7,4
"circ_10261",0,0,0,0,0,0,0,0
"circ_10262",7,2,0,4,0,2,0,5
"circ_10263",0,0,0,0,0,0,0,0
"circ_10264",0,0,0,0,0,0,0,0
"circ_10265",0,0,0,0,0,0,3,3
"circ_10266",5,0,3,0,0,3,0,0
"circ_10267",0,0,0,2,0,0,0,0
"circ_10268",0,0,0,0,0,0,0,0
"circ_10269",0,0,0,0,0,0,0,0
"circ_1027",0,0,0,0,0,0,0,0
"circ_10270",0,0,3,0,0,0,0,3
"circ_10271",8,6,4,5,6,5,5,8
"circ_10272",0,2,4,3,2,5,0,2
"circ_10273",0,0,0,3,0,0,0,0
"circ_10274",0,0,0,0,0,0,0,0
"circ_10275",0,2,2,0,0,2,0,0
"circ_10276",0,0,0,0,0,0,0,2
"circ_10277",0,0,0,0,0,0,0,0
"circ_10278",0,0,0,0,0,4,0,0
"circ_10279",0,0,0,2,4,0,0,0
"circ_1028",0,0,0,0,0,0,0,0
"circ_10280",0,0,0,0,2,0,0,4
"circ_10281",0,2,3,0,9,0,0,3
"circ_10282",0,0,0,0,0,0,4,0
"circ_10283",0,0,0,0,2,0,2,0
"circ_10284",0,9,2,5,4,5,0,2
"circ_10285",0,0,0,2,4,0,0,0
"circ_10286",0,0,0,0,0,0,0,0
"circ_10287",18,10,16,12,13,20,12,6
"circ_10288",3,0,0,0,0,0,0,0
"circ_10289",0,10,4,8,5,6,7,6
"circ_1029",0,0,0,0,0,0,0,0
"circ_10290",4,4,5,12,3,11,9,6
"circ_10291",0,0,0,0,0,0,0,0
"circ_10292",0,0,0,0,0,0,0,0
"circ_10293",0,0,0,0,0,0,0,0
"circ_10294",0,2,0,0,0,0,0,0
"circ_10295",0,0,2,0,0,0,0,0
"circ_10296",0,0,5,0,0,0,0,0
"circ_10297",0,2,3,5,10,3,0,7
"circ_10298",2,0,0,0,4,0,0,3
"circ_10299",5,5,0,0,5,0,0,0
"circ_103",0,0,0,0,0,0,0,0
"circ_1030",0,0,0,0,0,0,0,0
"circ_10300",0,0,0,0,0,0,0,0
"circ_10301",0,2,2,0,0,0,0,0
"circ_10302",0,0,4,0,0,0,0,0
"circ_10303",0,0,0,0,0,2,0,0
"circ_10304",0,0,4,0,0,0,0,3
"circ_10305",5,10,12,12,10,8,6,5
"circ_10306",5,5,4,3,2,6,2,3
"circ_10307",0,0,0,0,0,0,0,3
"circ_10308",0,0,0,8,0,0,0,0
"circ_10309",0,3,0,3,0,6,0,3
"circ_1031",0,0,0,2,5,2,0,4
"circ_10310",0,0,0,0,0,0,0,0
"circ_10311",0,0,0,0,0,0,0,0
"circ_10312",3,5,6,0,3,0,4,2
"circ_10313",2,0,0,0,0,0,0,0
"circ_10314",0,3,5,4,2,4,0,5
"circ_10315",0,0,0,0,0,0,0,0
"circ_10316",0,0,0,0,0,0,0,0
"circ_10317",0,0,0,0,0,0,0,0
"circ_10318",18,16,11,12,14,21,8,3
"circ_10319",0,0,0,0,0,0,0,0
"circ_1032",7,11,10,8,23,14,6,4
"circ_10320",0,0,0,2,0,0,0,0
"circ_10321",0,0,0,0,0,0,0,0
"circ_10322",0,0,0,0,4,0,0,0
"circ_10323",0,0,0,0,0,0,0,0
"circ_10324",0,0,0,0,0,0,0,0
"circ_10325",0,0,0,0,0,0,0,0
"circ_10326",15,16,9,11,14,12,16,13
"circ_10327",0,0,0,0,0,0,0,0
"circ_10328",0,0,0,0,0,0,0,0
"circ_10329",0,4,0,0,0,0,0,0
"circ_1033",0,5,0,0,5,0,0,0
"circ_10330",0,2,0,0,0,0,0,0
