HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
0,0,1,1,0,3,0,1
0,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,1,0,0,2,0,0,1
0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1122,1138,1007,1425,1409,1146,1276,1104
43,49,46,45,31,25,48,39
0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,1
415,419,328,491,365,426,264,297
0,0,0,0,0,0,0,0
8,9,6,5,4,3,10,10
0,0,0,0,0,0,1,0
5,3,4,3,1,8,1,3
0,0,0,0,0,0,0,0
44,50,30,40,42,39,38,32
5,4,2,5,3,3,2,7
2369,2462,2960,3313,3157,2215,1272,1760
0,0,1,71,0,0,37,31
287,319,315,346,371,253,227,317
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
32,45,38,23,28,24,40,41
0,2,0,1,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1156,1239,1201,1512,1469,1099,1034,1251
13,7,13,22,22,9,13,16
0,0,0,0,0,0,0,0
7,33,19,5,34,35,153,60
0,0,0,0,0,0,0,0
3,2,3,3,5,2,1,2
0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0
8,6,12,19,12,10,8,11
17,27,8,22,22,14,12,19
2,2,0,2,0,0,1,1
4,5,3,6,9,3,1,4
0,0,0,0,0,0,0,0
13,30,14,6,8,16,10,16
0,0,1,0,0,1,0,0
0,1,2,1,2,5,0,1
1,5,0,5,7,4,1,6
43,64,74,43,87,58,54,56
7,25,11,8,1,11,11,15
0,0,0,0,0,0,0,0
2180,2020,1904,2161,2578,2745,2085,2392
204,176,204,153,191,185,144,204
45,22,30,20,36,25,35,27
1,0,1,2,0,2,1,2
0,0,0,0,1,0,0,0
61,69,78,94,107,77,49,73
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10,7,9,13,10,15,3,11
345,347,386,455,416,372,359,421
0,0,0,0,0,0,0,0
1,3,3,10,4,0,2,2
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,1,2,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,6,4,4,1,2,1,0
17,16,15,17,10,10,12,6
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
965,557,689,1061,183,294,289,389
98,49,43,100,35,37,14,22
83,63,71,90,94,97,76,67
1113,1511,973,1198,1448,1291,1006,1215
4882,3716,5197,2612,3833,5240,6591,5870
1,0,0,2,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1138,1051,1047,1200,1174,1014,1053,996
0,0,0,0,0,0,0,0
4,1,3,8,0,4,1,0
0,0,1,0,0,1,3,0
9,13,9,4,6,5,4,10
0,0,0,0,0,1,0,0
299,523,525,681,778,560,201,247
13,1,10,24,17,5,4,12
289,270,264,270,445,351,258,443
354,3,14,29,16,24,20,11
5,11,3,11,10,5,5,9
9,2,7,4,1,1,3,7
2470,2020,2934,2243,3305,3640,2551,3707
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
780,989,843,869,1117,967,797,888
1264,1289,1222,1528,1581,1069,774,956
218,225,289,334,299,232,153,217
113,134,124,115,108,109,79,87
459,500,463,553,632,386,250,389
5936,5219,5137,5812,4055,4954,5260,4131
5523,5616,5946,6063,5683,5673,5772,5426
0,0,0,2,0,0,0,0
7,6,17,26,9,14,0,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0
111,115,110,172,169,102,132,108
0,0,0,0,0,0,0,0
295,330,310,374,336,285,247,281
0,0,0,0,0,0,0,0
142,103,161,192,151,206,44,240
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,3,12,7,7,6,1,7
15,12,13,20,16,15,19,6
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0
88,67,66,99,96,63,73,78
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
1,6,1,2,3,0,0,0
3,2,0,3,0,0,0,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
49,50,109,95,67,59,48,49
2,1,1,6,4,0,0,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
17,11,2,12,2,11,10,18
16319,14911,12344,30,12099,13414,36,22
85,137,71,121,138,110,66,134
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
