 HC16 HC13 HC06 HC03 RRMS18 RRMS16 SPMS10 SPMS03
circ_1 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_100 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_1000 1.44529893984626 2.2345863644131 2.10537182139974 2.10762719347183 2.95808561478695 2.21995282880718 2.400877909499 2.14992762238624
circ_10000 1.44529893984626 1.44529893984626 2.10537182139974 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10001 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10002 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10003 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10004 2.71778987345136 2.2345863644131 2.10537182139974 2.24727633729181 2.61085962003679 2.57477530201192 2.400877909499 2.59103129818483
circ_10005 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10006 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10007 1.44529893984626 1.44529893984626 1.44529893984626 2.24727633729181 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10008 1.44529893984626 1.44529893984626 1.44529893984626 2.37927866072953 1.44529893984626 2.46310654860603 1.44529893984626 1.44529893984626
circ_10009 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_1001 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10010 1.44529893984626 1.44529893984626 2.24410917888713 1.44529893984626 1.44529893984626 1.44529893984626 2.26440638953303 1.44529893984626
circ_10011 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10012 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10013 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10014 2.30651274624787 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10015 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10016 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10017 2.1497557807242 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 2.26440638953303 2.14992762238624
circ_10018 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
circ_10019 2.1497557807242 2.2345863644131 2.24410917888713 1.44529893984626 2.18334040422016 2.08814497158871 2.64908069322971 1.44529893984626
circ_1002 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626 1.44529893984626
