HC16 HC13 HC06 HC03 RRMS18 RRMS16 SPMS10 SPMS03
circ_1 0 0 0 0 0 0 0 0
circ_10 0 0 0 0 0 0 0 0
circ_100 0 0 0 0 0 0 0 0
circ_1000 0 50.4392306362728 34.4363029124885 34.7064176678939 161.254584871847 48.5806754216415 72.3463674239964 39.8419710641367
circ_10000 0 0 4.89500154275472 0 0 0 0 0
circ_10001 0 0 0 0 0 0 0 0
circ_10002 0 0 0 0 0 0 0 0
circ_10003 0 0 0 0 0 0 0 0
circ_10004 43.161055361149 18.2233641442989 12.4416110206559 18.8088025727536 37.0746898268671 35.1037606012931 26.1382693878091 35.9866089237218
circ_10005 0 0 0 0 0 0 0 0
circ_10006 0 0 0 0 0 0 0 0
circ_10007 0 0 0 183.318969151032 0 0 0 0
circ_10008 0 0 0 3.50937239075193 0 4.09356761911173 0 0
circ_10009 0 0 0 0 0 0 0 0
circ_1001 0 0 0 0 0 0 0 0
circ_10010 0 0 153.210617149574 0 0 0 160.938176634818 0
circ_10011 0 0 0 0 0 0 0 0
circ_10012 0 0 0 0 0 0 0 0
circ_10013 0 0 0 0 0 0 0 0
circ_10014 5.21140854569063 0 0 0 0 0 0 0
circ_10015 0 0 0 0 0 0 0 0
circ_10016 0 0 0 0 0 0 0 0
circ_10017 4.54204842647645 0 0 0 0 0 6.18897962035953 4.54445571087712
circ_10018 0 0 0 0 0 0 0 0
circ_10019 33.3749615906008 42.2745046393127 43.2930170287292 0 36.8596082325125 27.1445323092909 90.9532165753458 0
circ_1002 0 0 0 0 0 0 0 0
circ_10020 0 12.2772640009011 0 0 8.56374583406975 0 0 0
circ_10021 0 0 8.54581598663291 0 0 0 13.4652682855785 0
circ_10022 0 28.3589469260316 29.0421941702372 0 24.7264795294153 0 0 50.4016762213171
circ_10023 0 0 0 0 0 0 0 0
circ_10024 48.1348754610645 0 41.6260950064733 111.873615302582 0 78.29813847783 0 0
circ_10025 0 0 0 0 0 0 0 0
circ_10026 0 0 0 0 0 0 0 0
circ_10027 0 0 0 0 0 0 0 0
circ_10028 0 0 0 0 0 0 0 0
circ_10029 0 0 0 0 0 0 0 0
circ_1003 0 0 0 0 8.21573768260038 0 0 0
circ_10030 0 0 4.25797521450806 0 0 0 0 0
circ_10031 0 0 2.68058387260125 0 0 0 2.81578580387791 0
circ_10032 0 0 0 0 0 0 0 0
circ_10033 0 0 4.98076174108992 0 0 0 0 0
circ_10034 50.2004724497436 26.4944138301525 43.4123827172495 32.8146786773003 46.2015449955778 51.0363263885184 51.3022437926049 43.9486938503871
circ_10035 0 0 0 0 0 0 0 0
circ_10036 0 0 0 0 0 0 0 0
circ_10037 0 0 0 0 0 0 0 0
circ_10038 0 63.331387178286 0 0 0 0 0 0
circ_10039 0 0 0 0 0 0 0 0
circ_1004 0 0 0 0 0 0 0 0
circ_10040 0 0 0 0 0 20.6599080422292 0 0
circ_10041 1.8461238230473 0 2.3947374408616 0 1.359250520414 0 3.35402932618035 0
circ_10042 0 0 0 0 0 0 0 0
circ_10043 0 0 0 0 0 0 0 0
circ_10044 0 0 0 0 0 0 0 0
circ_10045 15.2039586074345 38.516288142601 0 106.009736186003 39.1799073118973 18.5485312632475 41.433723789334 0
circ_10046 0 2.46904162880065 0 0 0 0 0 0
circ_10047 0 0 0 0 0 0 0 0
circ_10048 0 0 0 0 0 0 0 0
circ_10049 47.6631549739309 40.2484611225676 61.8272405895584 51.9268391607837 26.3198088587373 0 54.121376355245 71.532624649183
circ_1005 0 0 0 0 0 0 0 0
circ_10050 8.02901043421102 0 0 0 8.86731145132222 6.5301568228457 0 0
circ_10051 0 0 0 25.9512260924977 21.9228733298372 48.4340044794091 36.0639724897882 0
circ_10052 0 0 0 0 0 0 0 0
circ_10053 48.9074873761359 53.8685473088267 82.7495894695308 75.9854536019155 75.1497316616297 55.3425393524483 67.6069888192118 57.4435663013976
circ_10054 0 0 0 0 0 0 0 0
circ_10055 0 0 0 0 0 0 0 0
circ_10056 0 0 0 0 0 0 0 0
circ_10057 2.32096619904827 1.95990630247369 0 2.02286967501858 0 0 0 0
circ_10058 1.64753058654669 2.31872224982216 0.949834730913371 0.957285135118151 0 0 0 0
circ_10059 0 0 0 81.4493630045647 55.0449234754641 60.8051241748235 0 0
circ_1006 0 1.29287858634551 0 0 0 0 0 0
circ_10060 0 0 0 0 5.06546412403556 0 6.2496629457074 0
circ_10061 0 0 0 0 0 9.51808713400301 0 0
circ_10062 0 0 0 0 0 0 0 0
circ_10063 33.1196680411205 0 38.1883180059387 28.8658973812446 32.5134753215148 53.873793788477 0 44.182961941274
circ_10064 0 0 0 0 0 0 0 27.1003214836621
circ_10065 0 0 12.7041574299796 0 0 11.9481767091293 0 0
circ_10066 0 0 0 7.95890997754481 0 0 0 6.85245011589203
circ_10067 0 0 0 0 0 0 0 0
circ_10068 0 0 0 0 0 0 0 0
circ_10069 0 0 0 0 0 0 0 4.73300575596028
circ_1007 0 3.46197834784824 0 0 0 1.66720669915034 4.65525955208624 0
circ_10070 0 0 0 0 0 0 0 0
circ_10071 0 0 0 0 0 0 0 23.905182638482
circ_10072 0 0 0 0 0 0 0 0
circ_10073 24.4166729523975 0 0 0 0 9.92928734977776 0 0
circ_10074 0 0 0 0 0 0 0 0
circ_10075 0 0 0 0 0 0 0 0
circ_10076 0 226.443192524174 0 0 0 0 0 0
circ_10077 0 0 0 0 0 0 0 0
circ_10078 0 0 0 0 0 0 0 0
circ_10079 0 0 0 0 0 0 0 0
circ_1008 0 0 0 0 0 0 0 0
circ_10080 0 0 0 0 0 0 0 0
circ_10081 0 0 0 0 0 0 0 0
circ_10082 25.6163666234352 0 44.3050615826475 0 28.2909460589804 41.6686197267297 0 51.2598865812183
circ_10083 0 131.958973108277 90.0921586759821 0 0 84.7310841274169 0 0
circ_10084 17.8288059355635 0 0 0 0 0 0 0
circ_10085 0 35.0902138228003 0 54.3262675433536 0 0 0 0
circ_10086 93.334080284125 0 0 0 0 0 0 0
circ_10087 0 0 1.10568799567766 0 0 0 0 0
circ_10088 0 0 0 0 0 0 0 0
circ_10089 0 0 0 0 1.03369215457032 0 0 0
circ_1009 25.2987631039484 0 0 0 0 0 68.9440158136332 0
circ_10090 0 0 38.3600795561903 0 0 0 0 0
circ_10091 236.372377523923 277.494395515302 309.108092355162 346.705751087279 263.174155271965 379.803947635834 214.72012771212 224.96118385142
circ_10092 14.0577621713973 23.7417474581886 20.2614610896254 25.865827168074 29.9009998997354 11.4334627298953 19.8645051722207 23.4420213023864
circ_10093 0 0 6.65094178944084 0 0 9.38275067280468 0 0
circ_10094 35.5469404686435 0 0 20.6542797975532 17.4481605650099 0 21.527173006019 0
circ_10095 0 0 0 13.8900448840534 0 0 0 0
circ_10096 51.6952302563791 58.2043849547672 74.5083665229439 0 88.8108324157859 0 0 51.7226287140133
circ_10097 0 0 0 0 0 0 0 0
circ_10098 0 0 9.06239896008699 0 0 0 0 0
circ_10099 0 4.69451939906686 12.0190591243794 0 0 0 12.6252703391651 8.34345673637361
circ_101 0 0 112.59042052356 141.841959995848 71.8944833842076 105.890551780798 88.7018993333818 0
circ_1010 9.90854100806015 8.36712399257663 14.9952454326735 4.31796187663181 10.0311584527614 7.0514649717559 6.75067201055292 7.43534439902551
circ_10100 0 0 0 0 0 0 0 0
circ_10101 0 0 0 0 0 0 0 0
circ_10102 0 1.95670848117115 0 0 0 2.82691325044286 0 0
circ_10103 0 0 0 0 0 0 0 0
circ_10104 0 0 0 0 0 0 0 0
circ_10105 0 0 0 0 0 0 0 0
circ_10106 0 0 0 0 0 0 0 0
circ_10107 0 0 0 0 0 0 0 0
circ_10108 0 85.6602248291445 0 0 0 0 0 0
circ_10109 18.5172759106694 9.38198732325716 22.4187271808552 9.68339028435794 29.994281276701 18.0725707038576 43.7347329420692 0
circ_1011 12.5939996442976 34.9429821564109 46.6759009984413 26.657145732026 42.3891098141245 51.2147750821845 47.3957792303086 21.6011562181723
circ_10110 0 0 0 0 0 0 0 0
circ_10111 0 57.7670109637776 0 0 0 0 0 0
circ_10112 0 0 0 0 0 0 0 0
circ_10113 0 0 0 0 0 0 0 0
circ_10114 0 0 0 0 0 2.46465180439252 0 0
circ_10115 0 0 0 0 0 0 0 0
circ_10116 0 0 14.5582777035442 0 0 20.5379469919087 0 25.2653637274426
circ_10117 0 0 0 0 0 0 0 0
circ_10118 0 328.739897918866 0 339.3008990427 286.631953492302 0 212.184280247484 0
circ_10119 0 10.1534403583719 0 0 8.85289696508328 0 7.28167854186255 8.02020712561733
circ_1012 0 0 0 0 0 0 0 0
circ_10120 0 0 0 0 0 0 0 0
circ_10121 0 0 0 0 0 0 0 0
circ_10122 0 0 0 0 1.50905950368293 0 0 0
circ_10123 0 0 0 0 0 0 1.68221039607027 0
circ_10124 0 0 0 0 0 0 0 0
circ_10125 0 0 0 0 0 0 0 0
circ_10126 0 0 0 0 0 0 0 3.39615493611582
circ_10127 320.435777437555 721.566274132385 184.737711653277 372.373549851916 235.928106123627 260.616908579636 679.1939656538 641.211216620655
circ_10128 32.8305630826316 0 17.0347357283482 45.7822784327478 14.5033478464813 0 11.92928339903 26.2783706175354
circ_10129 0 0 0 0 0 0 0 0
circ_1013 7.18652014818256 6.06855288847069 31.0738074617184 6.26350943095584 13.2280959833707 5.84494240762361 35.9052016611806 10.7854935027885
circ_10130 0 0 0 0 0 0 0 0
circ_10131 2.1397919613848 3.61383268125173 0 0 0 5.22100843831339 3.88756425804797 6.42277815158463
circ_10132 0 0 2.12368634329174 0 0 0 0 0
circ_10133 0 0 0 0 0 0 0 0
circ_10134 0 0 0 0 0 0 0 0
circ_10135 24.2033801741818 17.5184519634221 20.9306078588118 9.04062229539974 33.0948194519567 16.8729423107536 15.7044966098017 17.2972913992366
circ_10136 0 4.28399043927192 0 0 0 0 0 10.1517779494697
circ_10137 5.77005202822615 0 4.98982767938223 0 0 0 6.98866943977499 3.84874010279576
circ_10138 2.91669000887891 6.15739162111441 2.5222962405342 3.81312130233318 0 0 0 0
circ_10139 0 0 1.70733838675957 0 0 2.40861082598956 0 0
circ_1014 0 8.17636050240007 0 0 0 0 0 0
circ_10140 0 0 0 0 0 0 0 0
circ_10141 0 0 0 1.92880734471267 0 0 0 0
circ_10142 0 0 0 0 0 0 0 0
circ_10143 0 0 1.19455497754232 0 0 0 0 0
circ_10144 0 0 0 0 0 0 0 0
circ_10145 0 0 0 0 0 0 0 0
circ_10146 0 0 0 0 0 0 0 0
circ_10147 0 0 0 0 0 0 0 0
circ_10148 0 0 0 0 0 0 0 0
circ_10149 0 0 0 0 0 0 0 0
circ_1015 275.894288046136 307.526916814814 295.849073100838 365.498320192211 365.640164469851 224.390413019269 310.77095876108 309.165373374972
circ_10150 0 12.4858731843247 0 0 10.8865709472338 0 0 0
circ_10151 0 0 0 0 0 7.03066650531352 0 0
circ_10152 0 0 0 0 0 0 0 0
circ_10153 0 0 0 0 0 0 0 0
circ_10154 0 0 0 0 0 0 0 0
circ_10155 0 0 0 0 0 0 0 0
circ_10156 0 0 0 0 0 0 0 0
circ_10157 13.0224046875298 0 0 0 6.39202713187057 0 7.88634844425313 0
circ_10158 0 261.614997296689 0 225.016303030063 342.157515163585 335.966881566302 562.862314094548 0
circ_10159 0 0 0 0 0 0 0 0
circ_1016 0 0 0 0 0 0 0 0
circ_10160 107.5328785828 116.748748793616 92.9923216240148 214.221128367561 135.726034052429 87.458668351664 139.546601755009 92.2198894101358
circ_10161 0 0 0 0 0 0 0 0
circ_10162 0 0 0 0 0 0 0 0
circ_10163 2.13400436006114 6.30710179569536 1.84544506213559 0 5.49923182436815 4.33907243178377 0 3.20270307266619
circ_10164 0 0 0 0 0 0 0 0
circ_10165 0 0 0 0 0 208.644172475605 0 0
circ_10166 24.0739653784114 33.8815191779683 20.81869248493 6.99399737652433 20.6791699563201 35.8963800941213 18.2239459574279 36.1300868600328
circ_10167 0 0 0 0 0 0 26.6633685496177 39.1568578050973
circ_10168 0 12.6013276270177 0 0 0 0 0 0
circ_10169 0 17.5327945556729 0 0 0 0 0 0
circ_1017 314.754292021996 885.965682334533 907.311101559536 548.65677292011 463.489967349254 682.656110416636 381.229439688151 734.815927321188
circ_10170 0 0 0 0 0 0 0 0
circ_10171 0 0 0 103.285186891503 0 160.638370441832 71.7668237597187 0
circ_10172 0 0 0 0 0 0 0 3.11180326927926
circ_10173 0 0 0 0 0 0 0 0
circ_10174 0 0 0 0 0 0 0 0
circ_10175 20.6468272505706 17.4349143348457 0 0 0 0 0 0
circ_10176 0 0 0 0 0 0 0 0
circ_10177 0 0 0 0 0 0 0 0
circ_10178 0 0 0 0 0 0 0 0
circ_10179 17.3090308795247 9.74424034392895 19.958013310436 0 21.2402773648741 0 0 34.6364093221376
circ_1018 0 0 0 0 0 0 0 0
circ_10180 0 0 0 0 0 0 0 0
circ_10181 0 0 0 0 0 0 0 0
circ_10182 280.843886569223 249.012281480071 388.589244445812 293.727973352579 299.827634312782 411.148839164077 344.409225650876 252.893460375778
circ_10183 11.2996117667536 7.63343484321229 11.7260188194221 3.93933216120458 3.32783814014893 9.19020313633761 16.4232664210294 6.78336033470522
circ_10184 0 0 0 0 0 0 0 0
circ_10185 0 0 0 0 0 0 0 0
circ_10186 0 0 0 0 0 0 0 7.64003385254308
circ_10187 0 0 0 0 0 0 0 0
circ_10188 0 0 0 0 0 0 0 0
circ_10189 3.70241244487003 0 2.401330179632 2.42016596220039 0 2.25843527847831 0 0
circ_1019 0 0 0 0 0 0 0 0
circ_10190 0 0 0 0 0 0 0 18.9922483964843
circ_10191 0 32.8451782320339 0 0 0 0 0 0
circ_10192 0 0 0 0 0 0 0 0
circ_10193 38.380243737476 43.2128548431833 25.8148186001517 55.7513728608645 28.2583246164218 13.8735242964465 19.3691809585001 42.6673169510718
circ_10194 0 0 0 0 0 0 3.84887233252394 0
circ_10195 0 0 0 0 0 0 26.6105698000145 0
circ_10196 0 9.52687597400718 0 0 0 0 0 0
circ_10197 0 0 0 0 0 0 0 0
circ_10198 0 0 0 0 0 0 0 0
circ_10199 0 0 0 0 0 0 0 0
circ_102 0 0 0 46.047979155795 0 0 0 0
circ_1020 0 203.28911506781 208.1869248493 209.81992129573 141.800022557624 58.7395310631076 65.6062054467404 72.2601737200657
circ_10200 0 0 0 0 0 0 0 0
circ_10201 0 0 2.9506052083237 0 0 0 0 0
circ_10202 0 0 0 0 0 0 0 0
circ_10203 0 0 0 0 0 0 0 0
circ_10204 0 0 0 0 0 0 0 0
circ_10205 0 0 0 0 0 0 0 0
circ_10206 0 0 0 0 0 0 0 0
circ_10207 0 0 0 0 0 0 0 1.45510147958384
circ_10208 0 0 0 0 0 0 0 0
circ_10209 0 0 0 0 0 0 0 0
circ_1021 0 0 0 0 0 0 0 0
circ_10210 10.5924758162923 3.57786513559127 5.49609903994965 7.38561315401552 7.79895047451486 0 9.62218083130985 4.23923593020959
circ_10211 0 0 0 0 0 0 0 0
circ_10212 0 0 0 0 1.94978997229044 0 0 0
circ_10213 12.0147151130537 11.2729469123466 9.23563527102971 6.98105897051262 5.89740426803634 16.2863519551864 18.1902329319235 10.6854070299702
circ_10214 0 0 0 0 0 0 0 0
circ_10215 0 0 0 0 0 0 0 0
circ_10216 0 0 0 0 0 0 0 0
circ_10217 0 0 0 0 0 4.03955479136921 0 0
circ_10218 0 0 8.7131527546327 0 0 0 0 0
circ_10219 0 0 0 0 0 0 0 0
circ_1022 0 0 0 0 69.6531685544841 0 0 0
circ_10220 0 0 0 0 0 0 0 0
circ_10221 314.754292021996 189.849789071686 194.423807477044 391.897694942936 165.532131196162 0 204.230056975795 224.943651220772
circ_10222 0 0 39.7095288111416 0 0 0 0 0
circ_10223 0 0 0 0 0 8.28352078904868 6.93890073098486 0
circ_10224 0 0 0 0 12.5919239684479 0 0 0
circ_10225 0 0 0 0 0 0 0 0
circ_10226 177.521420700406 0 102.344692255916 0 87.1361138616597 96.2545115687456 0 0
circ_10227 0 0 0 0 0 0 0 0
circ_10228 0 21.4089393674669 0 0 24.8889214114995 27.4934337528551 23.0305702639372 25.3663963158985
circ_10229 17.7450440524196 14.9845455268895 20.4607541495233 0 13.0651910028478 0 0 0
circ_1023 0 3.07095082253048 2.09662580931527 2.11307152269801 0 0 0 0
circ_10230 0 0 0 0 0 0 0 0
circ_10231 115.962107587051 69.9446591316736 0 57.7533445179064 60.9855220196386 107.78780690789 120.388244112048 82.8739767655475
circ_10232 62.9508584043992 39.868455705054 0 0 57.9362459186567 0 71.4805199415284 0
circ_10233 0 0 0 14.9229562078965 0 0 15.5536316539437 11.4207501931534
circ_10234 5.55257641926764 4.68879276378602 0 0 0 0 0 0
circ_10235 0 0 0 0 0 0 0 0
circ_10236 0 0 0 0 0 0 0 0
circ_10237 0 0 0 0 0 0 0 0
circ_10238 0 0 0 0 91.7222251175365 0 0 0
circ_10239 13.5969225413914 17.2225865637641 11.7583515919021 5.92529143548833 11.6795495755135 12.9017612779798 16.4685511629992 13.6041289065504
