The flag 'directory' used in rule trimming_results is only valid for outputs, not inputs.
Building DAG of jobs...
output_file	date	rule	version	log-file(s)	status	plan
results/identification/overlap/summary_overlap.bed	-	overlap_results	-		missing	update pending
results/identification/overlap/SRR12794681_common.txt	Sat Jun  5 08:09:35 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794681_common.png	Sat Jun  5 08:09:35 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794681_results.txt	Sat Jun  5 08:09:27 2021	ciri2	-		ok	no update
src/tools/CIRI2.pl	Tue Jun  1 21:22:44 2021	dw_ciri2	-		ok	no update
results/data/mapped_data/SRR12794681.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794681.log	missing	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/bwa/GRCh38.fna.amb	Wed May 26 14:31:56 2021	-	-	-	rule implementation changed	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/bwa/GRCh38.fna.ann	Wed May 26 14:31:56 2021	-	-	-	rule implementation changed	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/bwa/GRCh38.fna.bwt	Wed May 26 14:31:56 2021	-	-	-	rule implementation changed	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/bwa/GRCh38.fna.pac	Wed May 26 14:31:56 2021	-	-	-	rule implementation changed	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/bwa/GRCh38.fna.sa	Wed May 26 14:31:56 2021	-	-	-	rule implementation changed	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/GRCh38.fna	Wed May 26 14:06:58 2021	-	-	-	rule implementation changed	no update
results/identification/circexplorer2/SRR12794681_circularRNA_known.txt	Sat Jun  5 07:54:21 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794681_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
/media/alejandra/Elements/TFG/circrna-workflow/data/raw_data/GRCh38_refFlat.txt	Tue Aug 18 03:56:54 2020	-	-	-	rule implementation changed	no update
results/identification/overlap/SRR12794682_common.txt	Sat Jun  5 02:37:56 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794682_common.png	Sat Jun  5 02:37:56 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794682_results.txt	Sat Jun  5 02:37:47 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794682.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794682.log	missing	no update
results/identification/circexplorer2/SRR12794682_circularRNA_known.txt	Sat Jun  5 02:22:09 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794682_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
results/identification/overlap/SRR12794683_common.txt	Wed Jun  2 04:56:42 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794683_common.png	Wed Jun  2 04:56:42 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794683_results.txt	Wed Jun  2 04:56:33 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794683.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794683.log	missing	no update
results/identification/circexplorer2/SRR12794683_circularRNA_known.txt	Wed Jun  2 04:35:15 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794683_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
results/identification/overlap/SRR12794684_common.txt	Thu Jun  3 12:15:47 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794684_common.png	Thu Jun  3 12:15:47 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794684_results.txt	Thu Jun  3 12:15:39 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794684.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794684.log	missing	no update
results/identification/circexplorer2/SRR12794684_circularRNA_known.txt	Thu Jun  3 11:59:17 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794684_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
results/identification/overlap/SRR12794685_common.txt	Thu Jun  3 21:29:40 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794685_common.png	Thu Jun  3 21:29:40 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794685_results.txt	Thu Jun  3 21:29:30 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794685.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794685.log	missing	no update
results/identification/circexplorer2/SRR12794685_circularRNA_known.txt	Thu Jun  3 21:13:08 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794685_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
results/identification/overlap/SRR12794686_common.txt	Wed Jun  2 08:03:14 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794686_common.png	Wed Jun  2 08:03:14 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794686_results.txt	Wed Jun  2 08:03:03 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794686.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794686.log	missing	no update
results/identification/circexplorer2/SRR12794686_circularRNA_known.txt	Wed Jun  2 08:00:04 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794686_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
results/identification/overlap/SRR12794687_common.txt	Fri Jun  4 12:53:17 2021	select_coincidences	-		ok	no update
results/identification/overlap/SRR12794687_common.png	Fri Jun  4 12:53:17 2021	select_coincidences	-		ok	no update
results/identification/ciri2/SRR12794687_results.txt	Fri Jun  4 12:53:09 2021	ciri2	-		ok	no update
results/data/mapped_data/SRR12794687.sam	-	bwa_mem	-	results/logs/mapped_data/SRR12794687.log	missing	no update
results/identification/circexplorer2/SRR12794687_circularRNA_known.txt	Fri Jun  4 12:38:48 2021	circexplorer2_annotation	-		ok	no update
results/identification/circexplorer2/SRR12794687_back_spliced_junction.bed	-	circexplorer2_id	-		missing	no update
