"circRNA_ID"	"chr"	"circRNA_start"	"circRNA_end"	"X.junction_reads"	"SM_MS_SMS"	"X.non_junction_reads"	"junction_reads_ratio"	"circRNA_type"	"gene_id"	"strand"	"junction_reads_ID"
"chr21:17135209|17150346"	"chr1"	236399089	236399698	8	"4_5_3"	101	0.137	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:33101,GFGG-GA2-1:2:33:2000:33102,GFGG-GA2-1:2:33:2000:33104,GFGG-GA2-1:2:33:2000:33105,GFGG-GA2-1:2:33:2000:33098,GFGG-GA2-1:2:33:2000:33099,GFGG-GA2-1:2:33:2000:33100,GFGG-GA2-1:2:33:2000:33103,"
"chr21:17135209|17138460"	"chr1"	159682079	159683928	7	"7_6_0"	8	0.636	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:85690,GFGG-GA2-1:2:33:2000:85697,GFGG-GA2-1:2:33:2000:85702,GFGG-GA2-1:2:33:2000:85732,GFGG-GA2-1:2:33:2000:85736,GFGG-GA2-1:2:33:2000:85761,GFGG-GA2-1:2:33:2000:85758,"
"chr21:17135209|17172162"	"chr1"	153748994	153752633	14	"11_12_0"	29	0.491	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:69098,GFGG-GA2-1:2:33:2000:69100,GFGG-GA2-1:2:33:2000:69109,GFGG-GA2-1:2:33:2000:69113,GFGG-GA2-1:2:33:2000:69127,GFGG-GA2-1:2:33:2000:69137,GFGG-GA2-1:2:33:2000:69139,GFGG-GA2-1:2:33:2000:69147,GFGG-GA2-1:2:33:2000:69155,GFGG-GA2-1:2:33:2000:69162,GFGG-GA2-1:2:33:2000:69097,GFGG-GA2-1:2:33:2000:69124,GFGG-GA2-1:2:33:2000:69132,GFGG-GA2-1:2:33:2000:69144,"
"chr21:17150222|17177577"	"chr1"	243663039	243859018	10	"1_10_5"	101	0.165	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:45675,GFGG-GA2-1:2:33:2000:45681,GFGG-GA2-1:2:33:2000:45697,GFGG-GA2-1:2:33:2000:45719,GFGG-GA2-1:2:33:2000:45726,GFGG-GA2-1:2:33:2000:45732,GFGG-GA2-1:2:33:2000:45687,GFGG-GA2-1:2:33:2000:45705,GFGG-GA2-1:2:33:2000:45729,GFGG-GA2-1:2:33:2000:45738,"
"chr21:17205666|17214859"	"chr1"	153598796	153600117	5	"2_5_0"	204	0.047	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:9169,GFGG-GA2-1:2:33:2000:9186,GFGG-GA2-1:2:33:2000:9171,GFGG-GA2-1:2:33:2000:9177,GFGG-GA2-1:2:33:2000:9185,"
"chr21:27269884|27284274"	"chr1"	243708812	243778463	8	"6_6_2"	246	0.061	"n/a"	"/n/a"	"-"	"GFGG-GA2-1:2:33:2000:42859,GFGG-GA2-1:2:33:2000:42867,GFGG-GA2-1:2:33:2000:42869,GFGG-GA2-1:2:33:2000:42870,GFGG-GA2-1:2:33:2000:42875,GFGG-GA2-1:2:33:2000:42876,GFGG-GA2-1:2:33:2000:42879,GFGG-GA2-1:2:33:2000:42882,"
"chr1:110553836|110555084"	"chr1"	110553836	110555084	6	"5_4_0"	408	0.029	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:51332,GFGG-GA2-1:2:33:2000:51333,GFGG-GA2-1:2:33:2000:51336,GFGG-GA2-1:2:33:2000:51337,GFGG-GA2-1:2:33:2000:51342,GFGG-GA2-1:2:33:2000:51338,"
"chr1:46531726|46543285"	"chr1"	46531726	46543285	8	"8_6_0"	179	0.082	"n/a"	"/n/a"	"-"	"GFGG-GA2-1:2:33:2000:74722,GFGG-GA2-1:2:33:2000:74725,GFGG-GA2-1:2:33:2000:74732,GFGG-GA2-1:2:33:2000:74733,GFGG-GA2-1:2:33:2000:74734,GFGG-GA2-1:2:33:2000:74738,GFGG-GA2-1:2:33:2000:74726,GFGG-GA2-1:2:33:2000:74731,"
"chr1:27117250|27121725"	"chr1"	27117250	27121725	19	"11_13_0"	141	0.212	"n/a"	"/n/a"	"+"	"GFGG-GA2-1:2:33:2000:81801,GFGG-GA2-1:2:33:2000:81810,GFGG-GA2-1:2:33:2000:81814,GFGG-GA2-1:2:33:2000:81821,GFGG-GA2-1:2:33:2000:81825,GFGG-GA2-1:2:33:2000:81836,GFGG-GA2-1:2:33:2000:82651,GFGG-GA2-1:2:33:2000:82652,GFGG-GA2-1:2:33:2000:82655,GFGG-GA2-1:2:33:2000:82665,GFGG-GA2-1:2:33:2000:82694,GFGG-GA2-1:2:33:2000:82702,GFGG-GA2-1:2:33:2000:81812,GFGG-GA2-1:2:33:2000:81816,GFGG-GA2-1:2:33:2000:81829,GFGG-GA2-1:2:33:2000:82646,GFGG-GA2-1:2:33:2000:82676,GFGG-GA2-1:2:33:2000:82685,GFGG-GA2-1:2:33:2000:82703,"
"chr1:24175139|24175329"	"chr1"	24175139	24175329	9	"9_9_0"	138	0.115	"n/a"	"/n/a"	"-"	"GFGG-GA2-1:2:33:2000:56336,GFGG-GA2-1:2:33:2000:56337,GFGG-GA2-1:2:33:2000:56338,GFGG-GA2-1:2:33:2000:56339,GFGG-GA2-1:2:33:2000:56340,GFGG-GA2-1:2:33:2000:56341,GFGG-GA2-1:2:33:2000:56342,GFGG-GA2-1:2:33:2000:56343,GFGG-GA2-1:2:33:2000:56344,"
