id,X.chrom,start,end,name,score,strand
circ_1,chr1,10032075,10035833,NMNAT1,11,+
circ_10,chr1,100476920,100483371,SLC35A3,15,+
circ_100,chr1,109714487,109716459,KIAA1324,5,+
circ_1000,chr1,207989273,207990759,mir-29b-2,243,-
circ_10000,chr18,13048857,13059311,CEP192,24,+
circ_10001,chr18,13048857,13073184,CEP192,3,+
circ_10002,chr18,13087015,13087645,CEP192,2,+
circ_10003,chr18,13087015,13092526,CEP192,2,+
circ_10004,chr18,13099474,13103587,CEP192,237,+
circ_10005,chr18,13100303,13113704,CEP192,3,+
circ_10006,chr18,13278103,13319064,C18orf1,3,+
circ_10007,chr18,13387339,13387761,C18orf1,3,+
circ_10008,chr18,13408991,13438383,C18orf1,37,+
circ_10009,chr18,13666477,13682104,FAM210A,6,-
circ_1001,chr1,207989273,207992491,mir-29b-2,2,-
circ_10010,chr18,13681603,13682104,FAM210A,37,-
circ_10011,chr18,13731474,13731933,RNMT,10,+
circ_10012,chr18,14077332,14085075,ZNF519,4,-
circ_10013,chr18,163307,166819,USP14,12,+
circ_10014,chr18,163307,180339,USP14,3,+
circ_10015,chr18,18548732,18550474,ROCK1,10,-
circ_10016,chr18,18559870,18564496,ROCK1,24,-
circ_10017,chr18,18559870,18572898,ROCK1,71,-
circ_10018,chr18,18559870,18588155,ROCK1,7,-
circ_10019,chr18,18562723,18564496,ROCK1,102,-
circ_1002,chr1,207989273,208000609,mir-29b-2,2,-
circ_10020,chr18,18562723,18572898,ROCK1,84,-
circ_10021,chr18,18566910,18572898,ROCK1,57,-
circ_10022,chr18,18571136,18572898,ROCK1,145,-
circ_10023,chr18,18571136,18600200,ROCK1,12,-
circ_10024,chr18,18586311,18588155,ROCK1,81,-
circ_10025,chr18,18586311,18608896,ROCK1,8,-
circ_10026,chr18,18586311,18624147,ROCK1,2,-
circ_10027,chr18,18595391,18622670,ROCK1,3,-
circ_10028,chr18,18597458,18597673,ROCK1,2,-
circ_10029,chr18,18597458,18599494,ROCK1,3,-
circ_1003,chr1,2082228,2087531,PRKCZ,2,+
circ_10030,chr18,18600111,18624147,ROCK1,47,-
circ_10031,chr18,18603580,18622670,ROCK1,30,-
circ_10032,chr18,18608736,18622670,ROCK1,4,-
circ_10033,chr18,18608736,18624147,ROCK1,24,-
circ_10034,chr18,18619432,18624147,ROCK1,408,-
circ_10035,chr18,18619432,18629841,ROCK1,18,-
circ_10036,chr18,18622057,18624147,ROCK1,7,-
circ_10037,chr18,18622057,18625428,ROCK1,2,-
circ_10038,chr18,18629052,18629841,ROCK1,9,-
circ_10039,chr18,19112433,19112621,ESCO1,2,-
circ_1004,chr1,20964334,20966485,PINK1,5,+
circ_10040,chr18,19116002,19120661,ESCO1,23,-
circ_10041,chr18,19116002,19148055,ESCO1,46,-
circ_10042,chr18,19140819,19146167,ESCO1,4,-
circ_10043,chr18,19140819,19148055,ESCO1,4,-
circ_10044,chr18,19140819,19164401,ESCO1,28,-
circ_10045,chr18,19144163,19148055,ESCO1,322,-
circ_10046,chr18,19144163,19164401,ESCO1,9,-
circ_10047,chr18,19146106,19148055,ESCO1,2,-
circ_10048,chr18,19236821,19237113,ABHD3,11,-
circ_10049,chr18,19236821,19239304,ABHD3,231,-
circ_1005,chr1,20972052,20972473,PINK1,7,+
circ_10050,chr18,19236821,19244191,ABHD3,39,-
circ_10051,chr18,19345732,19348713,MIB1,94,+
circ_10052,chr18,19345732,19353689,MIB1,2,+
circ_10053,chr18,19345732,19359646,MIB1,2160,+
circ_10054,chr18,19345732,19371518,MIB1,16,+
circ_10055,chr18,19345732,19378189,MIB1,6,+
circ_10056,chr18,19345732,19379935,MIB1,13,+
circ_10057,chr18,19345732,19383975,MIB1,52,+
circ_10058,chr18,19345732,19399607,MIB1,136,+
circ_10059,chr18,19358063,19359646,MIB1,92,+
circ_1006,chr1,210522276,210560925,HHAT,2,+
circ_10060,chr18,19371334,19379935,MIB1,8,+
circ_10061,chr18,19371334,19383975,MIB1,81,+
circ_10062,chr18,19371334,19399607,MIB1,3,+
circ_10063,chr18,196636,199316,USP14,170,+
circ_10064,chr18,196636,203190,USP14,16,+
circ_10065,chr18,196636,204692,USP14,81,+
circ_10066,chr18,20516716,20529676,RBBP8,56,+
circ_10067,chr18,20548768,20564953,RBBP8,3,+
circ_10068,chr18,20562180,20564953,RBBP8,2,+
circ_10069,chr18,20569183,20581692,RBBP8,33,+
circ_1007,chr1,21071236,21100103,HP1BP3,28,-
circ_10070,chr18,20570899,20576425,RBBP8,4,+
circ_10071,chr18,20572710,20576425,RBBP8,12,+
circ_10072,chr18,20577582,20586395,RBBP8,2,+
circ_10073,chr18,20581548,20586395,RBBP8,32,+
circ_10074,chr18,20586325,20602233,RBBP8,6,+
circ_10075,chr18,21042927,21046240,RIOK3,8,+
circ_10076,chr18,21043930,21044592,RIOK3,6,+
circ_10077,chr18,21043930,21046240,RIOK3,9,+
circ_10078,chr18,21043930,21055071,RIOK3,2,+
circ_10079,chr18,21046096,21047490,RIOK3,2,+
circ_1008,chr1,21071236,21107033,HP1BP3,8,-
circ_10080,chr18,21054911,21059388,RIOK3,4,+
circ_10081,chr18,21084334,21089243,C18orf8,5,+
circ_10082,chr18,21086933,21089243,C18orf8,94,+
circ_10083,chr18,21095819,21096387,C18orf8,53,+
circ_10084,chr18,21095819,21099138,C18orf8,12,+
circ_10085,chr18,21098853,21100277,C18orf8,26,+
circ_10086,chr18,21099643,21100277,C18orf8,2,+
circ_10087,chr18,21599823,21646104,TTC39C,2,+
circ_10088,chr18,21599823,21649235,TTC39C,2,+
circ_10089,chr18,21599823,21663045,TTC39C,14,+
circ_1009,chr1,21074036,21076375,HP1BP3,12,-
circ_10090,chr18,21644103,21646104,TTC39C,17,+
circ_10091,chr18,21644103,21649235,TTC39C,2944,+
circ_10092,chr18,21644103,21663045,TTC39C,729,+
circ_10093,chr18,216485,224179,THOC1,26,-
circ_10094,chr18,21660548,21663045,TTC39C,24,+
circ_10095,chr18,21698088,21705514,TTC39C,7,+
circ_10096,chr18,21703797,21705514,TTC39C,89,+
circ_10097,chr18,21860805,21957499,OSBPL1A,9,-
circ_10098,chr18,21883600,21892070,OSBPL1A,3,-
circ_10099,chr18,21946855,21957499,OSBPL1A,83,-
circ_101,chr1,109773499,109774408,SARS,76,+
circ_1010,chr1,21076215,21100103,HP1BP3,400,-
circ_10100,chr18,22017918,22023116,IMPACT,5,+
circ_10101,chr18,22020459,22025430,IMPACT,3,+
circ_10102,chr18,23632587,23658124,SS18,41,-
circ_10103,chr18,23632587,23667541,SS18,4,-
circ_10104,chr18,23637552,23658124,SS18,3,-
circ_10105,chr18,23845133,23847587,TAF4B,7,+
circ_10106,chr18,23872209,23873495,TAF4B,2,+
circ_10107,chr18,2544193,2547528,METTL4,3,-
circ_10108,chr18,2666155,2667030,SMCHD1,7,+
circ_10109,chr18,2666155,2674144,SMCHD1,335,+
circ_1011,chr1,21083658,21100103,HP1BP3,1678,-
circ_10110,chr18,2666155,2688745,SMCHD1,2,+
circ_10111,chr18,2673279,2674144,SMCHD1,22,+
circ_10112,chr18,2688391,2688745,SMCHD1,8,+
circ_10113,chr18,2688391,2698039,SMCHD1,2,+
circ_10114,chr18,2688391,2707918,SMCHD1,5,+
circ_10115,chr18,2694524,2697120,SMCHD1,3,+
circ_10116,chr18,2694524,2698039,SMCHD1,68,+
circ_10117,chr18,2700536,2700829,SMCHD1,2,+
circ_10118,chr18,2700536,2700916,SMCHD1,109,+
circ_10119,chr18,2700536,2707918,SMCHD1,62,+
circ_1012,chr1,21091869,21094157,HP1BP3,4,-
circ_10120,chr18,2700536,2718432,SMCHD1,3,+
circ_10121,chr18,2700536,2724993,SMCHD1,2,+
circ_10122,chr18,2700536,2729407,SMCHD1,30,+
circ_10123,chr18,2700536,2732490,SMCHD1,2,+
circ_10124,chr18,2700536,2739518,SMCHD1,2,+
circ_10125,chr18,2700732,2718233,SMCHD1,2,+
circ_10126,chr18,2707560,2724993,SMCHD1,7,+
circ_10127,chr18,2718155,2718432,SMCHD1,299,+
circ_10128,chr18,2718155,2722661,SMCHD1,108,+
circ_10129,chr18,2718155,2729407,SMCHD1,4,+
circ_1013,chr1,21091869,21100103,HP1BP3,267,-
circ_10130,chr18,2722516,2729407,SMCHD1,7,+
circ_10131,chr18,2724896,2752550,SMCHD1,178,+
circ_10132,chr18,2728454,2752550,SMCHD1,2,+
circ_10133,chr18,2732262,2732490,SMCHD1,5,+
circ_10134,chr18,2732262,2739518,SMCHD1,2,+
circ_10135,chr18,2732262,2740819,SMCHD1,378,+
circ_10136,chr18,2732262,2743926,SMCHD1,30,+
circ_10137,chr18,2732262,2747645,SMCHD1,148,+
circ_10138,chr18,2732262,2752550,SMCHD1,87,+
circ_10139,chr18,2732262,2762234,SMCHD1,47,+
circ_1014,chr1,21094076,21103243,HP1BP3,7,-
circ_10140,chr18,2732262,2770106,SMCHD1,3,+
circ_10141,chr18,2732262,2772370,SMCHD1,3,+
circ_10142,chr18,2732262,2784619,SMCHD1,3,+
circ_10143,chr18,2732262,2796519,SMCHD1,7,+
circ_10144,chr18,2738394,2740819,SMCHD1,11,+
circ_10145,chr18,2738394,2747645,SMCHD1,5,+
circ_10146,chr18,2739429,2747645,SMCHD1,3,+
circ_10147,chr18,2750040,2750505,SMCHD1,2,+
circ_10148,chr18,2760649,2784619,SMCHD1,2,+
circ_10149,chr18,2762102,2769818,SMCHD1,2,+
circ_1015,chr1,21097422,21100103,HP1BP3,1774,-
circ_10150,chr18,2762102,2770106,SMCHD1,86,+
circ_10151,chr18,2762102,2772370,SMCHD1,11,+
circ_10152,chr18,2763634,2784619,SMCHD1,2,+
circ_10153,chr18,2769691,2771616,SMCHD1,2,+
circ_10154,chr18,2775731,2778237,SMCHD1,8,+
circ_10155,chr18,2775731,2784619,SMCHD1,58,+
circ_10156,chr18,2777803,2778237,SMCHD1,5,+
circ_10157,chr18,2777803,2784619,SMCHD1,29,+
circ_10158,chr18,2795946,2796519,SMCHD1,161,+
circ_10159,chr18,2884961,2892484,EMILIN2,9,+
circ_1016,chr1,21100234,21102498,HP1BP3,3,-
circ_10160,chr18,2890558,2892484,EMILIN2,503,+
circ_10161,chr18,29210921,29246335,B4GALT6,3,-
circ_10162,chr18,29218606,29238052,B4GALT6,3,-
circ_10163,chr18,29218606,29246335,B4GALT6,115,-
circ_10164,chr18,29237938,29246335,B4GALT6,7,-
circ_10165,chr18,2937689,2938035,LPIN2,33,-
circ_10166,chr18,29412046,29419420,TRAPPC8,442,-
circ_10167,chr18,29426678,29429702,TRAPPC8,65,-
circ_10168,chr18,29426678,29432626,TRAPPC8,48,-
circ_10169,chr18,29444589,29447439,TRAPPC8,8,-
circ_1017,chr1,21102216,21102498,HP1BP3,416,-
circ_10170,chr18,29444589,29451083,TRAPPC8,2,-
circ_10171,chr18,29450334,29451083,TRAPPC8,70,-
circ_10172,chr18,29470697,29489723,TRAPPC8,2,-
circ_10173,chr18,29477748,29487573,TRAPPC8,3,-
circ_10174,chr18,29477748,29489723,TRAPPC8,2,-
circ_10175,chr18,29493331,29497630,TRAPPC8,17,-
circ_10176,chr18,29497540,29498477,TRAPPC8,2,-
circ_10177,chr18,29508359,29511486,TRAPPC8,5,-
circ_10178,chr18,2951052,2960847,LPIN2,13,-
circ_10179,chr18,29511291,29516419,TRAPPC8,102,-
circ_1018,chr1,21137230,21139732,EIF4G3,13,-
circ_10180,chr18,29511291,29516423,TRAPPC8,2,-
circ_10181,chr18,29622141,29625695,RNF125,32,+
circ_10182,chr18,29691716,29693823,RNF138,1494,+
circ_10183,chr18,29691716,29704808,RNF138,205,+
circ_10184,chr18,29691716,29706763,RNF138,17,+
circ_10185,chr18,29691716,29709290,RNF138,4,+
circ_10186,chr18,3079176,3090800,MYOM1,3,-
circ_10187,chr18,3126698,3131494,MYOM1,5,-
circ_10188,chr18,3187477,3193956,MYOM1,2,-
circ_10189,chr18,32650158,32682123,MAPRE2,43,+
circ_1019,chr1,211444573,211449760,RCOR3,4,+
circ_10190,chr18,32902351,32907027,,34,+
circ_10191,chr18,33058245,33060527,INO80C,21,-
circ_10192,chr18,33234523,33272284,GALNT1,3,+
circ_10193,chr18,33606862,33613800,RPRD1A,398,-
circ_10194,chr18,33606862,33620828,RPRD1A,34,-
circ_10195,chr18,33610770,33613800,RPRD1A,6,-
circ_10196,chr18,33721099,33726344,ELP2,2,+
circ_10197,chr18,33722243,33726344,ELP2,4,+
circ_10198,chr18,33740894,33747185,ELP2,2,+
circ_10199,chr18,33740894,33750159,ELP2,3,+
circ_102,chr1,109859471,109860591,SORT1,11,-
circ_1020,chr1,211526580,211527809,TRAF5,334,+
circ_10200,chr18,34646852,34647508,KIAA1328,15,+
circ_10201,chr18,34646852,34664195,KIAA1328,9,+
circ_10202,chr18,34664087,34753044,KIAA1328,10,+
circ_10203,chr18,34740162,34753044,KIAA1328,7,+
circ_10204,chr18,39570422,39593560,PIK3C3,7,+
circ_10205,chr18,39573233,39584505,PIK3C3,2,+
circ_10206,chr18,39573233,39609405,PIK3C3,9,+
circ_10207,chr18,39573233,39613921,PIK3C3,2,+
circ_10208,chr18,39593405,39595530,PIK3C3,3,+
circ_10209,chr18,39593405,39629569,PIK3C3,3,+
circ_1021,chr1,211526580,211529810,TRAF5,4,+
circ_10210,chr18,39595439,39609405,PIK3C3,174,+
circ_10211,chr18,39595439,39613921,PIK3C3,6,+
circ_10212,chr18,39595439,39617784,PIK3C3,5,+
circ_10213,chr18,39607406,39629569,PIK3C3,701,+
circ_10214,chr18,39607406,39647477,PIK3C3,3,+
circ_10215,chr18,39613789,39629569,PIK3C3,5,+
circ_10216,chr18,39617655,39620705,PIK3C3,2,+
circ_10217,chr18,39617655,39629569,PIK3C3,77,+
circ_10218,chr18,39623696,39629569,PIK3C3,75,+
circ_10219,chr18,39637846,39661243,PIK3C3,2,+
circ_1022,chr1,211533253,211534504,TRAF5,6,+
circ_10220,chr18,39644703,39647477,PIK3C3,2,+
circ_10221,chr18,42281139,42281797,SETBP1,170,+
circ_10222,chr18,42281139,42283072,SETBP1,6,+
circ_10223,chr18,42281139,42292759,SETBP1,24,+
circ_10224,chr18,42529845,42533305,SETBP1,14,+
circ_10225,chr18,43191455,43191762,,2,-
circ_10226,chr18,43319127,43319627,SLC14A1,38,+
circ_10227,chr18,43479368,43484082,EPG5,7,-
circ_10228,chr18,43568667,43572168,PSTPIP2,182,-
circ_10229,chr18,43568667,43573669,PSTPIP2,136,-
circ_1023,chr1,21167348,21191755,EIF4G3,21,-
circ_10230,chr18,43573570,43579500,PSTPIP2,6,-
circ_10231,chr18,43577714,43579500,PSTPIP2,252,-
circ_10232,chr18,43698146,43700026,HAUS1,109,+
circ_10233,chr18,43698146,43703330,HAUS1,40,+
circ_10234,chr18,43698146,43708803,HAUS1,34,+
circ_10235,chr18,43795776,43796561,C18orf25,4,+
circ_10236,chr18,44407921,44409830,PIAS2,4,-
circ_10237,chr18,44407921,44426804,PIAS2,7,-
circ_10238,chr18,44470542,44471017,PIAS2,10,-
circ_10239,chr18,44470542,44483598,PIAS2,304,-
circ_1024,chr1,21167348,21212864,EIF4G3,5,-
circ_10240,chr18,44470542,44486278,PIAS2,4,-
circ_10241,chr18,44526019,44526886,KATNAL2,16,+
circ_10242,chr18,44617544,44623775,,30,-
circ_10243,chr18,44656614,44662820,HDHD2,4,-
circ_10244,chr18,44681169,44683908,IER3IP1,6,-
circ_10245,chr18,45355844,45423180,SMAD2,8,-
circ_10246,chr18,45367888,45423180,SMAD2,12,-
circ_10247,chr18,45368162,45423180,SMAD2,10,-
circ_10248,chr18,45391429,45396935,SMAD2,520,-
circ_10249,chr18,45391429,45423180,SMAD2,994,-
circ_1025,chr1,21183895,21188825,EIF4G3,10,-
circ_10250,chr18,45394693,45396935,SMAD2,4,-
circ_10251,chr18,45394693,45423180,SMAD2,10,-
circ_10252,chr18,46690054,46784863,DYM,2,-
circ_10253,chr18,46783379,46798673,DYM,6,-
circ_10254,chr18,46783379,46808545,DYM,26,-
circ_10255,chr18,46783379,46812986,DYM,21,-
circ_10256,chr18,46798547,46812986,DYM,8,-
circ_10257,chr18,46808366,46812986,DYM,6,-
circ_10258,chr18,46858233,46860223,DYM,49,-
circ_10259,chr18,46858233,46906128,DYM,244,-
circ_1026,chr1,21183895,21191755,EIF4G3,5,-
circ_10260,chr18,46889530,46906128,DYM,377,-
circ_10261,chr18,46904936,46906128,DYM,3,-
circ_10262,chr18,47017995,47018203,RPL17,54,-
circ_10263,chr18,47906495,47911723,SKA1,2,+
circ_10264,chr18,47908498,47918578,SKA1,4,+
circ_10265,chr18,48422178,48434566,ME2,95,+
circ_10266,chr18,48422178,48439320,ME2,87,+
circ_10267,chr18,48422178,48447557,ME2,7,+
circ_10268,chr18,48422178,48452268,ME2,3,+
circ_10269,chr18,48439170,48443878,ME2,3,+
circ_1027,chr1,21183895,21212864,EIF4G3,3,-
