"","circ_id","strand","circ_type","gene_id","gene_name","gene_type","logFC","logCPM","LR","PValue","DE","FDR"
"chr9:6880012|6893232","chr9:6880012|6893232","+","exon","KDM4C",NA,"protein_coding",3.98436833957829,-2.66879269277453,21.9327120794176,2.82379215334073e-06,1,0.0381963257908354
"chr6:18212488|18213781","chr6:18212488|18213781","+","exon","KDM1B",NA,"protein_coding",1.01801244192352,0.521492774996257,21.865640931442,2.92423256705216e-06,1,0.0381963257908354
"chr5:172055588|172057473","chr5:172055588|172057473","-","exon","STK10",NA,"protein_coding",1.97425210883055,-1.82417773180335,20.977291425663,4.64759627785151e-06,1,0.0404712683875309
"chrX:148661908|148662768","chrX:148661908|148662768","+","exon","AFF2",NA,"protein_coding",0.839807712938113,3.17861776267503,19.8459257499827,8.39414514403845e-06,0,0.0548221619357151
"chr1:146069543|146125516","chr1:146069543|146125516","-","exon","NBPF10",NA,"protein_coding",3.7600956497111,-2.74580438036676,18.3891120605792,1.80084069589997e-05,0,0.0940903246793817
"chr7:48410520|48412583","chr7:48410520|48412583","+","exon","ABCA13",NA,"protein_coding",1.11120702135446,-0.707360607349508,17.5232535968325,2.83815169483074e-05,0,0.103123226707675
"chr2:97187198|97211741","chr2:97187198|97211741","+","exon","ANKRD36",NA,"protein_coding",-3.36626286548113,-2.71993001277942,17.4512962359172,2.94763226655591e-05,0,0.103123226707675
"chr1:113825142|113834439","chr1:113825142|113834439","-","exon","PTPN22",NA,"protein_coding",1.25129892213608,-1.11952439048472,17.2470242024747,3.2821120447411e-05,0,0.103123226707675
"chr13:21381434|21401685","chr13:21381434|21401685","-","exon","ZDHHC20",NA,"protein_coding",3.1829946909384,-2.52806784885609,17.0965349182819,3.55270647821572e-05,0,0.103123226707675
"chr1:17341943|17342402","chr1:17341943|17342402","+","exon","PADI4",NA,"protein_coding",1.04975737775789,-0.611466052701009,16.5148056295922,4.82716649581582e-05,0,0.126104897536692
"chr16:27346467|27352696","chr16:27346467|27352696","+","exon","IL4R",NA,"protein_coding",1.10850823762802,-0.839800997196143,16.2653571831497,5.50614856292206e-05,0,0.130766022779796
"chrX:1288519|1288888","chrX:1288519|1288888","+","exon","CSF2RA",NA,"protein_coding",1.2941712893991,-1.39391099836371,15.4020695813671,8.68930744943652e-05,0,0.189166223174233
"chr12:94169153|94186473","chr12:94169153|94186473","+","exon","PLXNC1",NA,"protein_coding",0.746974776013495,2.48939434571377,15.2461380080182,9.43695252438728e-05,0,0.189639190574687
"chr21:33432177|33432871","chr21:33432177|33432871","+","exon","IFNGR2",NA,"protein_coding",0.759080077937114,1.62082179080493,14.5377628535387,0.00013737803228811,0,0.256347408249614
"chr12:26990450|27003390","chr12:26990450|27003390","-","exon","TM7SF3",NA,"protein_coding",3.45260917118053,-2.8458637972616,14.2273386427174,0.000161999801283778,0,0.282138853915827
"chr21:33426884|33432871","chr21:33426884|33432871","+","exon","IFNGR2",NA,"protein_coding",1.16711270315844,-1.23759742518001,13.9847375427413,0.00018430063155595,0,0.300916856172978
"chr7:48410520|48427871","chr7:48410520|48427871","+","exon","ABCA13",NA,"protein_coding",2.03426118360967,-2.18237251343629,13.7627262482639,0.000207410871390469,0,0.312298425884915
"chr15:50583089|50592626","chr15:50583089|50592626","-","exon","TRPM7",NA,"protein_coding",1.09703304883968,-1.10006993683466,13.693654182555,0.000215180357752583,0,0.312298425884915
"chr5:124701014|124701269","chr5:124701014|124701269","-","exon","ZNF608",NA,"protein_coding",2.83334984426575,-2.55670873816234,13.2860535189717,0.000267387734186068,0,0.367644061467202
"chr2:71526220|71539239","chr2:71526220|71539239","+","exon","DYSF",NA,"protein_coding",0.833207473587057,-0.0605467808222204,12.9123656126676,0.000326418489946441,0,0.379669744652183
"chr12:128945326|128957643","chr12:128945326|128957643","+","exon","GLT1D1",NA,"protein_coding",0.959698154936408,-0.779720580247449,12.8293256990304,0.000341228706114841,0,0.379669744652183
"chr4:39874289|39877153","chr4:39874289|39877153","-","exon","PDS5A",NA,"protein_coding",-3.32940674702827,-3.00560314608936,12.8245350648722,0.000342103507140146,0,0.379669744652183
"chr7:66286511|66286709","chr7:66286511|66286709","+","exon","TPST1",NA,"protein_coding",1.57154268881563,-1.91143072418835,12.7971567219457,0.000347146547729709,0,0.379669744652183
"chr7:66240325|66241270","chr7:66240325|66241270","+","exon","TPST1",NA,"protein_coding",1.37044394840552,-1.68748179181155,12.7024712864741,0.000365172659368813,0,0.379669744652183
"chr1:26268483|26269614","chr1:26268483|26269614","+","exon","CEP85",NA,"protein_coding",1.16041057554428,-1.3880592956645,12.6452353777082,0.000376524060273826,0,0.379669744652183
"chrX:101041317|101042312","chrX:101041317|101042312","-","exon","TRMT2B",NA,"protein_coding",1.10098857878053,-0.882928098477703,12.6367675093057,0.000378233426901748,0,0.379669744652183
"chrX:148651999|148662768","chrX:148651999|148662768","+","exon","AFF2",NA,"protein_coding",0.750502155897992,0.699394355926752,12.5680349040167,0.000392400976328623,0,0.379669744652183
"chr4:37631385|37638504","chr4:37631385|37638504","-","exon","RELL1",NA,"protein_coding",0.657306389514697,3.45729788173723,12.4677562299496,0.000414037133680373,0,0.386296645723788
"chr15:89888521|89889140","chr15:89888521|89889140","-","exon","AP3S2,ARPIN-AP3S2",NA,"protein_coding,protein_coding",1.51711248626405,-1.8846989783114,12.2901488092738,0.000455355427568556,0,0.399404920841351
"chr16:4671391|4673657","chr16:4671391|4673657","+","exon","MGRN1",NA,"protein_coding",1.44236259490952,-1.81550406870278,12.2590185208822,0.00046301497365527,0,0.399404920841351
"chr12:124372022|124378384","chr12:124372022|124378384","-","exon","NCOR2",NA,"protein_coding",-3.27295760576944,-3.01731302591056,12.1955441299447,0.000479038010279996,0,0.399404920841351
"chr4:102722871|102726683","chr4:102722871|102726683","-","exon","MANBA",NA,"protein_coding",0.745104651513129,0.568622998230866,12.1562288622857,0.000489241979288135,0,0.399404920841351
"chr1:95143891|95151419","chr1:95143891|95151419","+","exon","TMEM56,TMEM56-RWDD3",NA,"protein_coding,protein_coding",0.676269919580932,2.00197406090061,12.09308263268,0.000506092317457781,0,0.400641081856578
"chr21:31700995|31705467","chr21:31700995|31705467","-","exon","SCAF4",NA,"protein_coding",2.2067021704253,-2.3757404076382,11.8079390081729,0.000589786847164023,0,0.453164458685675
"chr2:227491547|227524915","chr2:227491547|227524915","+","exon","AGFG1",NA,"protein_coding",0.834853579411147,-0.381845912688324,11.7226692838863,0.000617433286656067,0,0.458823204517466
"chr19:54885235|54885525","chr19:54885235|54885525","+","exon","FCAR",NA,"protein_coding",1.02194505796644,-1.12939003529191,11.6784608107539,0.000632278187208267,0,0.458823204517466
"chr11:121470007|121478243","chr11:121470007|121478243","+","exon","SORL1",NA,"protein_coding",3.22177655558057,-2.91670299062266,11.5318683168695,0.000684132252617024,0,0.471998985618362
