,id,X.chrom,start,end,name,score,strand
1,gene_1,chr16,82154243,82155374,CTD-2588J6.1,0,-
2,gene_10,chr17,46537732,46543402,RP11-433M22.2,0,+
3,gene_100,chr1,198918145,198918934,RP11-16L9.1,0,+
4,gene_1000,chr4,191008860,191010134,DUX4L3,0,+
5,gene_10000,chr20,39918922,39919217,RN7SL615P,0,-
6,gene_10001,chr1,209320612,209328446,RP11-385M4.1,0,-
7,gene_10002,chr1,209346359,209346720,RP11-385M4.2,0,+
8,gene_10003,chr5,115638051,115639831,CTC-339F2.2,0,-
9,gene_10004,chr1,209441143,209441568,RP11-385M4.4,0,-
10,gene_10005,chr19,48824766,48833810,EMP3,0,+
11,gene_10006,chr12,13349650,13372873,EMP1,0,+
12,gene_10007,chr4,75192603,75192680,AC097470.1,0,+
13,gene_10008,chr19,17021303,17021594,RN7SL823P,0,-
14,gene_10009,chr15,49005125,49103343,CEP152,0,-
15,gene_1001,chr4,191012160,191013434,DUX4L2,0,+
16,gene_10010,chr1,87458692,87634887,RP5-1052I5.2,0,+
17,gene_10011,chr3,128467381,128468332,RP11-689D3.4,0,-
18,gene_10012,chr1,87595448,87634881,RP5-1052I5.1,0,+
19,gene_10013,chr3,189838753,189862635,RP11-3A3.1,0,+
20,gene_10014,chr12,53893946,53894720,RP11-793H13.11,0,-
21,gene_10015,chr12,53900472,54019763,RP11-793H13.10,0,-
22,gene_10016,chr12,68042118,68059186,DYRK2,0,+
23,gene_10017,chrY,15815447,15817904,TMSB4Y,0,+
24,gene_10018,chrX,49091927,49106987,CCDC22,0,+
25,gene_10019,chr5,117054935,117057792,RP11-74D3.2,0,-
26,gene_1002,chr4,191005567,191006841,DUX4L1,0,+
27,gene_10020,chr1,44457031,44462200,CCDC24,0,+
28,gene_10021,chr1,3663024,3688209,CCDC27,0,+
29,gene_10022,chr5,117114521,117115227,RP11-74D3.1,0,-
30,gene_10023,chr14,35163376,35163850,RP11-434O22.2,0,+
31,gene_10024,chr3,10182692,10193904,VHL,0,+
32,gene_10025,chr14,35209542,35210039,RP11-434O22.1,0,-
33,gene_10026,chr2,26901087,26901378,AC015977.5,0,-
34,gene_10027,chr20,24912476,24913619,RP4-568C11.4,0,+
35,gene_10028,chr7,70972,95683,AC093627.7,0,-
36,gene_10029,chr1,106434361,106436139,RP11-90H3.1,0,+
37,gene_1003,chr10,50818347,50820766,SLC18A3,0,+
38,gene_10030,chr1,106433315,106434052,RP11-90H3.2,0,-
39,gene_10031,chr14,54863567,54886936,CDKN3,0,+
40,gene_10032,chr7,135853,149466,AC093627.9,0,-
41,gene_10033,chr7,77038,81178,AC093627.8,0,+
42,gene_10034,chr4,52859868,52883786,LRRC66,0,-
43,gene_10035,chr18,47625112,47625532,RP11-689E3.2,0,+
44,gene_10036,chr14,23398818,23424771,RP11-298I3.1,0,+
45,gene_10037,chr10,33387463,33387564,AL121748.1,0,-
46,gene_10038,chr14,23451907,23468287,RP11-298I3.4,0,+
47,gene_10039,chr10,116449902,116450393,RP11-108K1.2,0,-
48,gene_1004,chr10,119000584,119038941,SLC18A2,0,+
49,gene_10040,chr14,23492292,23493426,RP11-298I3.6,0,-
