circ_id,strand,circ_type,gene_id,gene_name,gene_type
"chr10:100164004|100167406","-","exon","ERLIN1","NA","protein_coding"
"chr10:100164004|100179247","-","exon","ERLIN1","NA","protein_coding"
"chr10:100217995|100220676","-","exon","CHUK","NA","protein_coding"
"chr10:100217995|100222980","-","exon","CHUK","NA","protein_coding"
"chr10:100236850|100238231","-","exon","CWF19L1,SNORA12","NA","protein_coding,snoRNA"
"chr10:100243698|100246935","-","exon","CWF19L1","NA","protein_coding"
"chr10:100243698|100250332","-","exon","CWF19L1","NA","protein_coding"
"chr10:100243698|100253539","-","exon","CWF19L1","NA","protein_coding"
"chr10:100253421|100262063","-","exon","CWF19L1","NA","protein_coding"
"chr10:100256262|100260319","-","exon","CWF19L1","NA","protein_coding"
"chr10:100260218|100262063","-","exon","CWF19L1","NA","protein_coding"
"chr10:100505361|100506420","-","exon","SEC31B","NA","protein_coding"
"chr10:1005818|1007128","+","exon","GTPBP4","NA","protein_coding"
"chr10:100915999|100926019","+","exon","SLF2","NA","protein_coding"
"chr10:100915999|100931078","+","exon","SLF2","NA","protein_coding"
"chr10:100918384|100926019","+","exon","SLF2","NA","protein_coding"
"chr10:100923975|100926019","+","exon","SLF2","NA","protein_coding"
"chr10:100937402|100938736","+","exon","SLF2","NA","protein_coding"
"chr10:100937402|100944128","+","exon","SLF2","NA","protein_coding"
"chr10:100937402|100950753","+","exon","SLF2","NA","protein_coding"
"chr10:100938595|100944128","+","exon","SLF2","NA","protein_coding"
"chr10:101521639|101521870","+","exon","BTRC","NA","protein_coding"
"chr10:101521639|101526199","+","exon","BTRC","NA","protein_coding"
"chr10:101521639|101538371","+","exon","BTRC","NA","protein_coding"
"chr10:101531237|101538371","+","exon","BTRC","NA","protein_coding"
"chr10:101584602|101586156","-","exon","POLL","NA","protein_coding"
"chr10:101624745|101676436","-","exon","FBXW4","NA","protein_coding"
"chr10:101667886|101673673","-","exon","FBXW4","NA","protein_coding"
"chr10:101667886|101676436","-","exon","FBXW4","NA","protein_coding"
"chr10:101672915|101673673","-","exon","FBXW4","NA","protein_coding"
"chr10:101672915|101676436","-","exon","FBXW4","NA","protein_coding"
"chr10:101790896|101791439","-","exon","OGA","NA","protein_coding"
"chr10:101792839|101800400","-","exon","OGA","NA","protein_coding"
"chr10:101792839|101807901","-","exon","OGA","NA","protein_coding"
"chr10:101792839|101810314","-","exon","OGA","NA","protein_coding"
"chr10:101792839|101813606","-","exon","OGA","NA","protein_coding"
"chr10:101797980|101800400","-","exon","OGA","NA","protein_coding"
"chr10:101797980|101804019","-","exon","OGA","NA","protein_coding"
"chr10:101797980|101807901","-","exon","OGA","NA","protein_coding"
"chr10:101797980|101810314","-","exon","OGA","NA","protein_coding"
"chr10:101797980|101813606","-","exon","OGA","NA","protein_coding"
"chr10:101798842|101800400","-","exon","OGA","NA","protein_coding"
"chr10:101798842|101807901","-","exon","OGA","NA","protein_coding"
"chr10:101798842|101810314","-","exon","OGA","NA","protein_coding"
"chr10:101798842|101813606","-","exon","OGA","NA","protein_coding"
"chr10:101800242|101804019","-","exon","OGA","NA","protein_coding"
"chr10:101800242|101807901","-","exon","OGA","NA","protein_coding"
"chr10:101803735|101804019","-","exon","OGA","NA","protein_coding"
"chr10:101803735|101810314","-","exon","OGA","NA","protein_coding"
"chr10:101803735|101813127","-","exon","OGA","NA","protein_coding"
