circRNA_ID	chr	circRNA_start	circRNA_end	X.junction_reads	SM_MS_SMS	X.non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	gene_name	exon_count	exon_sizes
chr21:15014344|15043574	chr21	15014344	15043574	25	15_12_10	51	0.495	n/a	/n/a	-	SRR12794698.551207,SRR12794698.2451230,SRR12794698.2635844,SRR12794698.7009622,SRR12794698.9465132,SRR12794698.12287315,SRR12794698.13525680,SRR12794698.16935681,SRR12794698.18890797,SRR12794698.24319851,SRR12794698.26764843,SRR12794698.26765453,SRR12794698.28815164,SRR12794698.29062580,SRR12794698.29226461,SRR12794698.29226473,SRR12794698.31388759,SRR12794698.33789401,SRR12794698.34293689,SRR12794698.36232436,SRR12794698.40322112,SRR12794698.44103781,SRR12794698.48889089,SRR12794698.2517776,SRR12794698.45248459,	NRIP1	2	123,80
chr21:15762891|15766141	chr21	15762891	15766141	101	27_56_29	213	0.487	n/a	/n/a	+	SRR12794698.198241,SRR12794698.415601,SRR12794698.1305008,SRR12794698.2576992,SRR12794698.3772363,SRR12794698.4245920,SRR12794698.4306652,SRR12794698.4987861,SRR12794698.6890995,SRR12794698.7625050,SRR12794698.7775991,SRR12794698.7992362,SRR12794698.8126867,SRR12794698.8145893,SRR12794698.8242205,SRR12794698.8242586,SRR12794698.8562857,SRR12794698.8648533,SRR12794698.8651642,SRR12794698.8651650,SRR12794698.8883391,SRR12794698.9580448,SRR12794698.10372189,SRR12794698.12561135,SRR12794698.13317162,SRR12794698.14082310,SRR12794698.14170291,SRR12794698.15674665,SRR12794698.16048108,SRR12794698.17696326,SRR12794698.17696378,SRR12794698.18339125,SRR12794698.18585971,SRR12794698.19054579,SRR12794698.19054913,SRR12794698.19715025,SRR12794698.19715208,SRR12794698.21211187,SRR12794698.21888479,SRR12794698.23116719,SRR12794698.23311494,SRR12794698.23311690,SRR12794698.23735864,SRR12794698.24096571,SRR12794698.24257915,SRR12794698.24474355,SRR12794698.24474436,SRR12794698.24773840,SRR12794698.25525198,SRR12794698.26875790,SRR12794698.26884403,SRR12794698.28037880,SRR12794698.28346540,SRR12794698.28442244,SRR12794698.28737429,SRR12794698.29271386,SRR12794698.29271968,SRR12794698.29998079,SRR12794698.30409338,SRR12794698.30944770,SRR12794698.32510802,SRR12794698.34860899,SRR12794698.37086374,SRR12794698.37653216,SRR12794698.38446550,SRR12794698.39095399,SRR12794698.39115293,SRR12794698.40996225,SRR12794698.42264003,SRR12794698.42284353,SRR12794698.42763623,SRR12794698.42995106,SRR12794698.43366743,SRR12794698.44842198,SRR12794698.45807855,SRR12794698.48116282,SRR12794698.48830658,SRR12794698.48855416,SRR12794698.4932881,SRR12794698.4933422,SRR12794698.8389034,SRR12794698.10247258,SRR12794698.11129245,SRR12794698.11129674,SRR12794698.11618678,SRR12794698.16970036,SRR12794698.18518604,SRR12794698.19877538,SRR12794698.20665066,SRR12794698.23246423,SRR12794698.24733531,SRR12794698.24734859,SRR12794698.25189095,SRR12794698.26956335,SRR12794698.28536893,SRR12794698.29421811,SRR12794698.38701950,SRR12794698.40189771,SRR12794698.40537044,SRR12794698.43913033,SRR12794698.44748053,	USP25	2	78,145
chr21:15777904|15805258	chr21	15777904	15805258	2	1_2_0	309	0.013	n/a	/n/a	+	SRR12794698.25673884,SRR12794698.9829462,	USP25	4	124,163,87,138
chr21:15799757|15842540	chr21	15799757	15842540	2	2_2_0	288	0.014	n/a	/n/a	+	SRR12794698.12849298,SRR12794698.16350304,	USP25	13	87,138,77,74,149,128,96,162,227,71,229,201,143
chr21:15805121|15842540	chr21	15805121	15842540	4	3_3_0	305	0.026	n/a	/n/a	+	SRR12794698.32010917,SRR12794698.33649234,SRR12794698.33649711,SRR12794698.34089705,	USP25	12	138,77,74,149,128,96,162,227,71,229,201,143
chr21:15808809|15831629	chr21	15808809	15831629	3	2_3_1	280	0.021	n/a	/n/a	+	SRR12794698.2051575,SRR12794698.3401685,SRR12794698.37415304,	USP25	9	77,74,149,128,96,162,227,71,229
chr21:15811137|15842540	chr21	15811137	15842540	2	2_2_0	238	0.017	n/a	/n/a	+	SRR12794698.15960919,SRR12794698.24561736,	USP25	10	74,149,128,96,162,227,71,229,201,143
chr21:15824039|15842540	chr21	15824039	15842540	3	2_2_0	278	0.021	n/a	/n/a	+	SRR12794698.7866413,SRR12794698.7866584,SRR12794698.17040604,	USP25	8	128,96,162,227,71,229,201,143
chr21:15833348|15842540	chr21	15833348	15842540	15	12_11_0	291	0.093	n/a	/n/a	+	SRR12794698.682160,SRR12794698.4385067,SRR12794698.7103516,SRR12794698.9172463,SRR12794698.15785541,SRR12794698.22294785,SRR12794698.23990103,SRR12794698.28894884,SRR12794698.32327341,SRR12794698.33962738,SRR12794698.33962980,SRR12794698.46795978,SRR12794698.48241598,SRR12794698.46541058,SRR12794698.46542386,	USP25	2	201,143
chr21:24438253|24441913	chr21	24438253	24441913	2	2_2_0	8	0.333	n/a	/n/a	+	SRR12794698.12849126,SRR12794698.48307970,	LINC01684	2	191,119
chr21:29305204|29329693	chr21	29305204	29329693	2	1_2_0	468	0.008	n/a	/n/a	+	SRR12794698.26286945,SRR12794698.33878623,	BACH1	4	119,294,1335,207
