,id,X.chrom,start,end,name,score,strand,logFC,logCPM,LR,PValue,DE,FDR
14262,circ_22833,chrY,2821949,2829687,ZFY,276,+,7.12588745845366,-0.83760468303347,54.1014171891525,1.90403885975205e-13,1,4.34787273624382e-09
14256,circ_22828,chrY,21749095,21749393,TXLNG2P,433,+,7.63633012792864,-0.388202899658331,17.0637231135693,3.61462166828228e-05,0,0.412699428976129
12609,circ_21345,chr9,107513236,107521452,NIPSNAP3A,199,+,-2.70501734747135,-1.25157290183844,13.0632432204155,0.000301147529022646,0,1
20839,circ_8200,chr16,14687157,14698083,PARN,220,-,-3.63014130087353,-1.5969506071545,12.503217940011,0.000406251667314167,0,1
4704,circ_14230,chr3,100348441,100438902,GPR128|TFG,82,+,5.5784607248997,-1.76164974436038,11.9912774379095,0.000534501381135174,0,1
9791,circ_1881,chr1,52293467,52299842,NRD1,852,-,-1.41872074547702,-0.0893261629090909,10.5895410521604,0.00113729205901107,0,1
6580,circ_1592,chr1,31810021,31821821,ZCCHC17,207,+,2.82882566278677,-1.49598226348812,10.3495248973132,0.00129508013274801,0,1
2209,circ_11986,chr2,219093460,219104207,ARPC2,75,+,5.46972358100641,-1.8792502388592,10.0504541557249,0.00152310388552522,0,1
10833,circ_19748,chr7,158436980,158439255,NCAPG2,67,-,-5.39115379438437,-2.04351394599129,10.0107671222265,0.00155627685511074,0,1
17374,circ_5082,chr12,29812812,29813818,TMTC1,58,-,-5.34454250633806,-2.0598549005099,9.87899992448784,0.00167175777337905,0,1
6632,circ_15967,chr4,128938517,128950008,C4orf29,154,+,-5.31779877824468,-2.07948075053033,9.23319653174679,0.00237666373494057,0,1
14254,circ_22826,chrY,21203255,21207174,TTTY14,54,-,5.22496214437518,-2.13118078203913,8.85895701888011,0.00291654172179539,0,1
15357,circ_3267,chr10,89527429,89536184,ATAD1,174,-,-5.23892954223529,-2.1218281997444,8.82668957270145,0.00296856413115139,0,1
21957,circ_9207,chr17,35800605,35822225,TADA2A,157,+,-5.23593637644746,-2.12245766253416,8.8141783629334,0.00298898773560712,0,1
10719,circ_19645,chr7,141760110,141786128,MGAM,195,+,-5.36877962398202,-1.96847141544929,8.41190378717829,0.00372772097243705,0,1
18321,circ_5935,chr13,41482294,41488241,LOC100616668,284,-,1.96892126865943,-1.23834249141967,8.27245727924064,0.00402509927403509,0,1
3066,circ_12757,chr2,61722589,61726048,XPO1,331,-,-3.37555110402253,-1.78462309868855,8.25001074916688,0.00407517595960188,0,1
10534,circ_19479,chr7,12263851,12269445,TMEM106B,408,+,2.52680836559404,-1.53886719530759,8.13672422629569,0.0043377578529463,0,1
11371,circ_20230,chr7,77200394,77230123,PTPN12,197,+,-2.44600976755819,-1.4618526638927,8.09847782767512,0.00443024484279392,0,1
11852,circ_20664,chr8,133622411,133637700,LRRC6,281,-,-2.05568001616025,-1.26443097932712,8.04389141361746,0.00456573506632938,0,1
22779,circ_9948,chr17,80863811,80869665,TBCD,276,+,-1.98005790758558,-1.21114582762453,8.02804591160971,0.00460585036215843,0,1
16538,circ_433,chr1,155640110,155644887,YY1AP1,60,-,-5.09753694901611,-2.16234628245898,8.01108455650561,0.00464918851758712,0,1
11629,circ_20463,chr8,101271334,101277013,RNF19A,140,-,3.08648062285029,-1.7276621515522,7.96918489521954,0.00475803593259372,0,1
